nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-04-28,19,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-28,231,14,0,0,0,0,0,0,6,0,0,4,RUB
256302010,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-28,472,33,1,40512,0,0,1,40512,7,3,0,10,RUB
270764754,2026-04-28,91,3,0,0,0,0,0,0,3,0,0,0,RUB
284082008,2026-04-28,111,4,0,0,0,0,0,0,4,0,0,0,RUB
293965031,2026-04-28,15,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-28,63,1,0,0,0,0,0,0,2,0,0,2,RUB
320770642,2026-04-28,16,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-28,16,0,0,0,0,0,0,0,0,0,0,1,RUB
390144767,2026-04-28,16,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
482093243,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-28,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-28,86,5,0,0,0,0,0,0,6,0,0,1,RUB
523358338,2026-04-28,101,2,0,0,0,0,0,0,2,0,0,0,RUB
523358339,2026-04-28,102,11,0,0,0,0,0,0,11,0,0,1,RUB
526441058,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-28,449,29,2,87322,1,43661,0,0,6,7,100,10,RUB
539825996,2026-04-28,253,14,1,57642,1,57642,0,0,6,7,100,4,RUB
539838210,2026-04-28,41,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-28,49,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-28,19,1,0,0,0,0,0,0,5,0,0,3,RUB
566954273,2026-04-28,6,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-28,1411,107,4,56536,3,42101,1,14435,8,4,75,35,RUB
807108695,2026-04-28,8,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-28,106,7,0,0,0,0,0,0,7,0,0,3,RUB
846223764,2026-04-28,527,44,3,34500,1,11500,2,23000,8,7,33,19,RUB
846223785,2026-04-28,824,91,3,45028,3,45028,0,0,11,3,100,22,RUB
846223804,2026-04-28,192,13,1,20874,1,20874,0,0,7,8,100,4,RUB
859094794,2026-04-28,105,8,0,0,0,0,0,0,8,0,0,1,RUB
859100406,2026-04-28,1228,137,3,100842,3,100842,0,0,11,2,100,36,RUB
859105127,2026-04-28,195,18,1,33500,0,0,0,0,9,6,0,6,RUB
859126078,2026-04-28,188,2,0,0,0,0,0,0,1,0,0,1,RUB
876408553,2026-04-28,200,13,0,0,0,0,0,0,7,0,0,2,RUB
879041649,2026-04-28,411,28,0,0,0,0,0,0,7,0,0,8,RUB
879041650,2026-04-28,263,11,0,0,0,0,0,0,4,0,0,6,RUB
969101147,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-04-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-29,20,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-04-29,227,26,0,0,0,0,0,0,11,0,0,8,RUB
256600547,2026-04-29,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-04-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-29,375,20,0,0,0,0,0,0,5,0,0,16,RUB
270764754,2026-04-29,116,5,0,0,0,0,0,0,4,0,0,1,RUB
284082008,2026-04-29,86,4,0,0,0,0,0,0,5,0,0,6,RUB
293965031,2026-04-29,12,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-29,40,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-04-29,14,0,0,0,0,0,0,0,0,0,0,2,RUB
390144022,2026-04-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-29,7,0,0,0,0,0,0,0,0,0,0,1,RUB
390144767,2026-04-29,14,0,0,0,0,0,0,0,0,0,0,0,RUB
465631814,2026-04-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-04-29,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473507069,2026-04-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-29,5,0,0,0,0,0,0,0,0,0,0,0,RUB
474794632,2026-04-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-04-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-29,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-29,95,4,0,0,0,0,0,0,4,0,0,1,RUB
523358338,2026-04-29,118,4,0,0,0,0,0,0,3,0,0,0,RUB
523358339,2026-04-29,112,3,0,0,0,0,0,0,3,0,0,2,RUB
526441058,2026-04-29,2,0,0,0,0,0,0,0,0,0,0,0,RUB
526472350,2026-04-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534708841,2026-04-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-29,514,44,4,174644,2,87322,1,43661,9,9,67,13,RUB
539825996,2026-04-29,281,13,0,0,0,0,0,0,5,0,0,6,RUB
539838210,2026-04-29,41,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-29,19,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-29,23,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-04-29,12,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-29,1526,162,12,155892,9,116919,0,0,11,7,100,58,RUB
807108695,2026-04-29,4,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-29,134,9,0,0,0,0,0,0,7,0,0,2,RUB
846223764,2026-04-29,520,39,2,23000,0,0,0,0,8,5,0,12,RUB
846223785,2026-04-29,873,95,4,48452,4,48452,0,0,11,4,100,22,RUB
846223804,2026-04-29,167,13,1,20874,1,20874,0,0,8,8,100,5,RUB
859094794,2026-04-29,82,2,0,0,0,0,0,0,2,0,0,0,RUB
