nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-03-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256258967,2026-03-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-03-30,141,4,1,44501,1,44501,0,0,3,25,100,3,RUB
256302010,2026-03-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-03-30,1360,128,9,299700,7,233100,1,33300,9,7,88,39,RUB
270764754,2026-03-30,247,5,0,0,0,0,0,0,2,0,0,2,RUB
284082008,2026-03-30,48,1,0,0,0,0,0,0,2,0,0,1,RUB
293965031,2026-03-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-03-30,301,16,2,84400,2,84400,0,0,5,13,100,9,RUB
320770642,2026-03-30,59,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-03-30,17,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-03-30,8,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-03-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-03-30,7,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-03-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-03-30,12,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-03-30,319,34,3,148500,2,99000,0,0,11,9,100,16,RUB
523358338,2026-03-30,295,15,0,0,0,0,0,0,5,0,0,1,RUB
523358339,2026-03-30,246,11,3,138000,3,138000,0,0,4,27,100,7,RUB
539825994,2026-03-30,797,94,5,191603,5,191603,0,0,12,5,100,17,RUB
539825996,2026-03-30,252,13,2,112000,1,56000,0,0,5,15,100,2,RUB
539838210,2026-03-30,68,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-03-30,176,13,0,0,0,0,0,0,7,0,0,3,RUB
566938282,2026-03-30,27,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-03-30,10,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-03-30,1199,169,30,476340,26,412828,1,15878,14,18,96,50,RUB
807108695,2026-03-30,81,5,0,0,0,0,0,0,6,0,0,4,RUB
807135461,2026-03-30,153,7,1,33200,1,33200,0,0,5,14,100,4,RUB
846223764,2026-03-30,770,95,11,101200,9,82800,0,0,12,12,100,24,RUB
846223785,2026-03-30,628,84,11,153516,9,125604,0,0,13,13,100,21,RUB
846223804,2026-03-30,647,96,8,131976,7,115479,0,0,15,8,100,17,RUB
859094794,2026-03-30,323,26,0,0,0,0,0,0,8,0,0,2,RUB
859100406,2026-03-30,640,67,5,152500,4,122000,0,0,10,7,100,15,RUB
859105127,2026-03-30,148,28,6,192000,5,160000,0,0,19,21,100,2,RUB
859126078,2026-03-30,200,4,0,0,0,0,0,0,2,0,0,4,RUB
876408553,2026-03-30,135,16,1,33001,1,33001,0,0,12,6,100,2,RUB
256236042,2026-03-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-03-31,114,6,0,0,0,0,0,0,5,0,0,3,RUB
256286306,2026-03-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-03-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-03-31,1283,122,4,139600,3,106300,0,0,10,3,100,35,RUB
270764754,2026-03-31,249,12,1,32500,1,32500,0,0,5,8,100,3,RUB
284082008,2026-03-31,44,3,0,0,0,0,0,0,7,0,0,1,RUB
293965031,2026-03-31,9,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-03-31,385,26,0,0,0,0,0,0,7,0,0,6,RUB
320770642,2026-03-31,139,9,0,0,0,0,0,0,6,0,0,3,RUB
