nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-05-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256219937,2026-05-01,1,0,0,0,0,0,0,0,0,0,0,1,RUB
256236042,2026-05-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-01,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-01,161,22,1,31500,0,0,1,31500,14,5,0,4,RUB
270762735,2026-05-01,333,14,1,42201,1,42201,0,0,4,7,100,9,RUB
270764754,2026-05-01,105,4,0,0,0,0,0,0,4,0,0,0,RUB
284082008,2026-05-01,58,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-05-01,8,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-01,92,2,1,42200,1,42200,0,0,2,50,100,1,RUB
320770642,2026-05-01,9,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-05-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-01,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-05-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
479841995,2026-05-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-01,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-01,67,4,0,0,0,0,0,0,6,0,0,2,RUB
523358338,2026-05-01,60,1,0,0,0,0,0,0,2,0,0,0,RUB
523358339,2026-05-01,76,4,1,48008,1,48008,0,0,5,25,100,2,RUB
539825994,2026-05-01,484,43,1,43661,1,43661,0,0,9,2,100,12,RUB
539825996,2026-05-01,264,32,1,57642,1,57642,0,0,12,3,100,3,RUB
539838210,2026-05-01,48,2,0,0,0,0,0,0,4,0,0,2,RUB
548929114,2026-05-01,12,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-01,16,1,0,0,0,0,0,0,6,0,0,2,RUB
566954273,2026-05-01,9,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-01,1096,129,10,129910,10,129910,0,0,12,8,100,46,RUB
807108695,2026-05-01,7,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-01,77,6,0,0,0,0,0,0,8,0,0,3,RUB
