nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-04-23,23,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-23,504,42,3,122802,2,81868,0,0,8,7,100,7,RUB
270764754,2026-04-23,142,3,0,0,0,0,0,0,2,0,0,3,RUB
284082008,2026-04-23,103,2,0,0,0,0,0,0,2,0,0,1,RUB
293965031,2026-04-23,140,8,0,0,0,0,0,0,6,0,0,2,RUB
293986771,2026-04-23,69,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-04-23,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-23,22,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-23,30,0,0,0,0,0,0,0,0,0,0,1,RUB
473709751,2026-04-23,16,3,1,51000,1,51000,0,0,19,33,100,0,RUB
490317491,2026-04-23,20,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-23,110,7,0,0,0,0,0,0,6,0,0,0,RUB
523358338,2026-04-23,134,0,0,0,0,0,0,0,0,0,0,2,RUB
523358339,2026-04-23,141,2,0,0,0,0,0,0,1,0,0,1,RUB
528993929,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-23,605,31,3,133500,3,133500,0,0,5,10,100,13,RUB
539825996,2026-04-23,296,14,0,0,0,0,0,0,5,0,0,3,RUB
539838210,2026-04-23,43,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-23,65,2,1,50701,1,50701,0,0,3,50,100,3,RUB
