nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-05-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-30,9,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-30,384,55,1,31500,1,31500,0,0,14,2,100,7,RUB
270762735,2026-05-30,594,49,4,162004,2,81002,1,40501,8,8,67,15,RUB
270764754,2026-05-30,174,3,0,0,0,0,0,0,2,0,0,1,RUB
284082008,2026-05-30,55,5,0,0,0,0,0,0,9,0,0,0,RUB
293965031,2026-05-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-30,18,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-30,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-30,10,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-05-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-30,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-30,135,12,0,0,0,0,0,0,9,0,0,3,RUB
523358338,2026-05-30,128,5,1,68000,1,68000,0,0,4,20,100,4,RUB
523358339,2026-05-30,145,11,4,188000,3,141000,1,47000,8,36,75,3,RUB
526441058,2026-05-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-30,746,68,4,170000,3,127500,0,0,9,6,100,20,RUB
539825996,2026-05-30,77,0,0,0,0,0,0,0,0,0,0,2,RUB
539838210,2026-05-30,20,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-30,8,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-30,22,3,0,0,0,0,0,0,14,0,0,2,RUB
566954273,2026-05-30,7,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-05-30,669,92,21,272811,17,220847,1,12991,14,23,94,24,RUB
807108695,2026-05-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-30,105,7,0,0,0,0,0,0,7,0,0,1,RUB
846223764,2026-05-30,459,42,6,57508,4,38340,0,0,9,14,100,12,RUB
846223785,2026-05-30,537,69,11,136147,8,99016,0,0,13,16,100,15,RUB
846223804,2026-05-30,184,3,2,33668,1,16834,1,16834,2,67,50,1,RUB
859094794,2026-05-30,120,4,0,0,0,0,0,0,3,0,0,1,RUB
859100406,2026-05-30,723,73,4,137200,4,137200,0,0,10,5,100,18,RUB
859105127,2026-05-30,134,17,1,32501,1,32501,0,0,13,6,100,3,RUB
859126078,2026-05-30,152,10,1,74001,0,0,0,0,7,10,0,2,RUB
876408553,2026-05-30,60,6,0,0,0,0,0,0,10,0,0,6,RUB
879041649,2026-05-30,569,51,1,36501,1,36501,0,0,9,2,100,11,RUB
879041650,2026-05-30,574,33,1,36000,1,36000,0,0,6,3,100,6,RUB
969320636,2026-05-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-30,1079,119,10,75870,10,75870,0,0,11,8,100,19,RUB
999069062,2026-05-30,2742,370,27,213030,17,134130,2,15780,13,7,89,73,RUB
1011335068,2026-05-30,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335069,2026-05-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-05-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-05-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-30,3571,683,164,432963,119,314161,13,34320,19,24,90,118,RUB
1094667689,2026-05-30,22,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-31,18,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-31,396,32,1,31500,1,31500,0,0,8,3,100,18,RUB
256302010,2026-05-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-31,765,58,3,121503,3,121503,0,0,8,5,100,28,RUB
270764754,2026-05-31,157,5,1,34000,1,34000,0,0,3,20,100,1,RUB
284082008,2026-05-31,55,1,0,0,0,0,0,0,2,0,0,0,RUB
293965031,2026-05-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-31,28,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-05-31,13,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-31,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-31,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-31,4,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-31,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-31,169,7,0,0,0,0,0,0,4,0,0,4,RUB
523358338,2026-05-31,278,71,0,0,0,0,0,0,26,0,0,1,RUB
523358339,2026-05-31,100,6,1,47000,0,0,0,0,6,17,0,1,RUB
539825994,2026-05-31,967,72,5,212500,3,127500,0,0,7,7,100,27,RUB
539825996,2026-05-31,90,1,0,0,0,0,0,0,1,0,0,0,RUB
539838210,2026-05-31,66,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-31,13,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-31,40,3,0,0,0,0,0,0,8,0,0,0,RUB
566954273,2026-05-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
728947476,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-31,1365,105,19,246829,14,181874,3,38973,8,18,82,30,RUB
807108695,2026-05-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-31,157,5,2,63002,2,63002,0,0,3,40,100,2,RUB
846223764,2026-05-31,544,61,2,19168,1,9584,0,0,11,3,100,11,RUB
846223785,2026-05-31,642,78,6,74262,6,74262,0,0,12,8,100,30,RUB
846223804,2026-05-31,192,5,0,0,0,0,0,0,3,0,0,1,RUB
859094794,2026-05-31,162,10,0,0,0,0,0,0,6,0,0,1,RUB
859100406,2026-05-31,664,53,5,171500,3,102900,1,34300,8,9,75,19,RUB
859105127,2026-05-31,144,13,0,0,0,0,0,0,9,0,0,2,RUB
859126078,2026-05-31,209,14,0,0,0,0,0,0,7,0,0,6,RUB
876408553,2026-05-31,96,7,0,0,0,0,0,0,7,0,0,3,RUB
879041649,2026-05-31,637,43,6,219006,4,146004,1,36501,7,14,80,17,RUB
879041650,2026-05-31,646,50,2,72000,2,72000,0,0,8,4,100,10,RUB
969101147,2026-05-31,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-31,1009,90,5,37935,4,30348,0,0,9,6,100,17,RUB
999069062,2026-05-31,2502,298,28,220924,16,126240,3,23670,12,9,84,56,RUB
1011335069,2026-05-31,7,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-05-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-31,4367,880,205,541199,152,401279,17,44880,20,23,90,114,RUB
1094667689,2026-05-31,18,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-01,15,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-01,371,51,1,31500,1,31500,0,0,14,2,100,12,RUB
256302010,2026-06-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-01,701,59,3,121503,2,81002,1,40501,8,5,67,10,RUB
270764754,2026-06-01,139,13,0,0,0,0,0,0,9,0,0,1,RUB
284082008,2026-06-01,49,1,0,0,0,0,0,0,2,0,0,1,RUB
293965031,2026-06-01,5,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-06-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-01,25,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-01,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-01,127,2,0,0,0,0,0,0,2,0,0,1,RUB
523358338,2026-06-01,183,3,0,0,0,0,0,0,2,0,0,5,RUB
523358339,2026-06-01,159,4,0,0,0,0,0,0,3,0,0,2,RUB
539825994,2026-06-01,819,67,3,127500,1,42500,0,0,8,4,100,19,RUB
539825996,2026-06-01,66,0,0,0,0,0,0,0,0,0,0,0,RUB
539838210,2026-06-01,41,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-01,18,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-01,21,1,0,0,0,0,0,0,5,0,0,0,RUB
566954273,2026-06-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-01,697,117,19,246829,13,168883,4,51964,17,16,76,24,RUB
807108695,2026-06-01,4,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-01,134,7,0,0,0,0,0,0,5,0,0,2,RUB
846223764,2026-06-01,484,58,13,124592,8,76672,1,9584,12,22,89,19,RUB
846223785,2026-06-01,582,69,5,61885,4,49508,0,0,12,7,100,23,RUB
846223804,2026-06-01,178,9,0,0,0,0,0,0,5,0,0,3,RUB
859094794,2026-06-01,137,11,3,121500,3,121500,0,0,8,27,100,2,RUB
859100406,2026-06-01,743,77,1,34300,1,34300,0,0,10,1,100,14,RUB
859105127,2026-06-01,83,9,1,32501,1,32501,0,0,11,11,100,1,RUB
859126078,2026-06-01,204,13,0,0,0,0,0,0,6,0,0,3,RUB
876408553,2026-06-01,48,3,0,0,0,0,0,0,6,0,0,1,RUB
879041649,2026-06-01,611,49,0,0,0,0,0,0,8,0,0,16,RUB
879041650,2026-06-01,610,46,1,37000,1,37000,0,0,8,2,100,13,RUB
969101147,2026-06-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969113476,2026-06-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-06-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-06-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-06-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-06-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-06-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-06-01,4,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-01,1730,185,4,30348,1,7587,2,15174,11,2,33,41,RUB
999069062,2026-06-01,2946,319,30,236700,17,134130,4,31560,11,9,81,58,RUB
1011335068,2026-06-01,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335069,2026-06-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-06-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-01,4021,726,206,533940,127,329340,11,28710,18,28,92,101,RUB
1094667689,2026-06-01,21,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-02,57,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-06-02,1013,83,9,283500,8,252000,0,0,8,11,100,32,RUB
256598609,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-02,699,56,0,0,0,0,0,0,8,0,0,28,RUB
270764754,2026-06-02,153,7,0,0,0,0,0,0,5,0,0,3,RUB
284082008,2026-06-02,63,2,1,48900,1,48900,0,0,3,50,100,0,RUB
293965031,2026-06-02,10,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-02,42,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-02,7,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,1,RUB
473709751,2026-06-02,5,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-02,290,15,0,0,0,0,0,0,5,0,0,4,RUB
523358338,2026-06-02,174,7,0,0,0,0,0,0,4,0,0,5,RUB
523358339,2026-06-02,344,12,0,0,0,0,0,0,3,0,0,8,RUB
539825994,2026-06-02,923,81,4,170000,2,85000,0,0,9,5,100,19,RUB
539825996,2026-06-02,61,1,0,0,0,0,0,0,2,0,0,0,RUB
539838210,2026-06-02,37,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-02,13,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-02,36,2,0,0,0,0,0,0,6,0,0,0,RUB
566954273,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-02,713,93,16,207856,10,129910,0,0,13,17,100,20,RUB
807108695,2026-06-02,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-02,297,10,1,31501,0,0,0,0,3,10,0,3,RUB
846223764,2026-06-02,119,10,2,19168,1,9584,0,0,8,20,100,5,RUB
846223785,2026-06-02,564,54,3,37131,0,0,0,0,10,6,0,15,RUB
846223804,2026-06-02,167,4,2,33668,0,0,0,0,2,50,0,0,RUB
859094794,2026-06-02,141,3,0,0,0,0,0,0,2,0,0,1,RUB
859100406,2026-06-02,918,122,7,240100,4,137200,0,0,13,6,100,29,RUB
859105127,2026-06-02,96,14,1,32501,1,32501,0,0,15,7,100,2,RUB
859126078,2026-06-02,268,14,1,74001,1,74001,0,0,5,7,100,2,RUB
876408553,2026-06-02,90,7,1,34501,0,0,0,0,8,14,0,2,RUB
879041649,2026-06-02,497,49,0,0,0,0,0,0,10,0,0,9,RUB
879041650,2026-06-02,505,29,2,74000,1,37000,0,0,6,7,100,14,RUB
969101147,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969113476,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320631,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-02,1514,160,9,66768,6,44310,0,0,11,6,100,26,RUB
999069062,2026-06-02,2858,312,30,233066,12,92559,1,7890,11,10,92,70,RUB
1011335068,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335069,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-02,4981,835,197,505890,107,275110,15,38610,17,24,88,127,RUB
1094667689,2026-06-02,25,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-06-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-03,23,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-06-03,687,104,10,315000,1,31500,2,63000,15,10,33,17,RUB
256598609,2026-06-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-06-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-06-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-03,579,58,14,567014,1,40501,0,0,10,24,100,15,RUB
270764754,2026-06-03,115,6,0,0,0,0,0,0,5,0,0,0,RUB
284082008,2026-06-03,54,2,0,0,0,0,0,0,4,0,0,2,RUB
293965031,2026-06-03,12,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-06-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-03,25,0,0,0,0,0,0,0,0,0,0,0,RUB
