nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-04-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-03,138,5,1,44500,1,44500,0,0,4,20,100,2,RUB
256606412,2026-04-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-04-03,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-04-03,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-04-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-03,995,104,5,186250,2,74500,2,74500,10,5,50,21,RUB
270764754,2026-04-03,177,8,0,0,0,0,0,0,5,0,0,1,RUB
284082008,2026-04-03,61,0,0,0,0,0,0,0,0,0,0,1,RUB
293965031,2026-04-03,10,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-04-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-03,58,0,0,0,0,0,0,0,0,0,0,2,RUB
320770642,2026-04-03,84,4,1,51600,1,51600,0,0,5,25,100,1,RUB
390144701,2026-04-03,15,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-03,7,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-04-03,4,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-04-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-03,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-03,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-03,239,15,0,0,0,0,0,0,6,0,0,2,RUB
523358338,2026-04-03,202,3,1,69000,1,69000,0,0,1,33,100,4,RUB
523358339,2026-04-03,30,1,0,0,0,0,0,0,3,0,0,0,RUB
526472350,2026-04-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-03,1227,108,7,267003,7,267003,0,0,9,6,100,41,RUB
539825996,2026-04-03,338,15,0,0,0,0,0,0,4,0,0,4,RUB
539838210,2026-04-03,394,11,0,0,0,0,0,0,3,0,0,5,RUB
548929114,2026-04-03,288,23,0,0,0,0,0,0,8,0,0,7,RUB
566938282,2026-04-03,36,1,0,0,0,0,0,0,3,0,0,2,RUB
566954273,2026-04-03,8,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-03,916,106,18,285804,14,222292,2,31756,12,17,88,39,RUB
807108695,2026-04-03,84,1,0,0,0,0,0,0,1,0,0,1,RUB
807135461,2026-04-03,173,9,3,99600,3,99600,0,0,5,33,100,3,RUB
846223764,2026-04-03,779,111,18,169056,16,150272,1,9392,14,16,94,30,RUB
846223785,2026-04-03,604,86,8,111648,7,97692,0,0,14,9,100,22,RUB
846223804,2026-04-03,541,85,7,117838,6,101004,0,0,16,8,100,22,RUB
859094794,2026-04-03,231,16,1,38800,1,38800,0,0,7,6,100,3,RUB
859100406,2026-04-03,620,63,1,32000,1,32000,0,0,10,2,100,24,RUB
859105127,2026-04-03,149,20,1,33500,1,33500,0,0,13,5,100,5,RUB
859126078,2026-04-03,148,9,0,0,0,0,0,0,6,0,0,2,RUB
876408553,2026-04-03,132,14,0,0,0,0,0,0,11,0,0,4,RUB
879041649,2026-04-03,8,0,0,0,0,0,0,0,0,0,0,0,RUB
879041650,2026-04-03,18,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-04-04,2,0,0,0,0,0,0,0,0,0,0,1,RUB
256267836,2026-04-04,97,4,0,0,0,0,0,0,4,0,0,0,RUB
256286306,2026-04-04,5,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-04-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-04-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-04,1280,159,6,223500,2,74500,1,37250,12,4,67,26,RUB
270764754,2026-04-04,181,3,1,36001,0,0,1,36001,2,33,0,1,RUB
284082008,2026-04-04,52,3,0,0,0,0,0,0,6,0,0,0,RUB
293965031,2026-04-04,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-04,51,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-04-04,167,8,0,0,0,0,0,0,5,0,0,4,RUB
390144022,2026-04-04,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-04,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-04,9,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-04,6,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-04,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-04,164,9,1,60001,1,60001,0,0,5,11,100,4,RUB
523358338,2026-04-04,221,8,0,0,0,0,0,0,4,0,0,3,RUB
523358339,2026-04-04,34,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-04,1049,92,1,37500,1,37500,0,0,9,1,100,27,RUB
539825996,2026-04-04,331,19,0,0,0,0,0,0,6,0,0,8,RUB
539838210,2026-04-04,340,11,3,105000,2,70000,1,35000,3,27,67,4,RUB
548929114,2026-04-04,224,20,1,50701,1,50701,0,0,9,5,100,2,RUB
566938282,2026-04-04,24,0,0,0,0,0,0,0,0,0,0,2,RUB
566954273,2026-04-04,10,0,0,0,0,0,0,0,0,0,0,0,RUB
728947476,2026-04-04,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-04,1116,164,28,444584,23,365194,0,0,15,17,100,51,RUB
807108695,2026-04-04,83,1,0,0,0,0,0,0,1,0,0,1,RUB
807135461,2026-04-04,170,11,0,0,0,0,0,0,6,0,0,1,RUB
846223764,2026-04-04,863,136,27,253584,17,159664,2,18784,16,20,89,42,RUB
846223785,2026-04-04,660,92,13,181428,12,167472,0,0,14,14,100,26,RUB
846223804,2026-04-04,695,72,6,101004,6,101004,0,0,10,8,100,17,RUB
859094794,2026-04-04,215,13,1,38800,1,38800,0,0,6,8,100,4,RUB
859100406,2026-04-04,971,140,9,288000,7,224000,1,32000,14,6,88,36,RUB
859105127,2026-04-04,189,8,0,0,0,0,0,0,4,0,0,1,RUB
859126078,2026-04-04,214,7,0,0,0,0,0,0,3,0,0,4,RUB
876408553,2026-04-04,131,19,0,0,0,0,0,0,15,0,0,6,RUB
879041649,2026-04-04,179,5,0,0,0,0,0,0,3,0,0,0,RUB
879041650,2026-04-04,155,3,0,0,0,0,0,0,2,0,0,1,RUB
256036969,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,1,RUB
256219937,2026-04-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-05,74,6,1,44500,1,44500,0,0,8,17,100,2,RUB
256286306,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-04-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-05,1059,99,1,37250,1,37250,0,0,9,1,100,21,RUB
270764754,2026-04-05,183,2,0,0,0,0,0,0,1,0,0,0,RUB
284082008,2026-04-05,95,2,0,0,0,0,0,0,2,0,0,2,RUB
293965031,2026-04-05,9,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-05,70,0,0,0,0,0,0,0,0,0,0,2,RUB
320770642,2026-04-05,98,5,1,51600,0,0,1,51600,5,20,0,2,RUB
390144022,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-05,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-05,13,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-05,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-05,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-05,115,5,0,0,0,0,0,0,4,0,0,2,RUB
523358338,2026-04-05,208,7,0,0,0,0,0,0,3,0,0,2,RUB
523358339,2026-04-05,51,4,1,47001,1,47001,0,0,8,25,100,4,RUB
526441058,2026-04-05,0,1,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-05,1060,116,3,112500,3,112500,0,0,11,3,100,30,RUB
539825996,2026-04-05,313,19,0,0,0,0,0,0,6,0,0,5,RUB
539838210,2026-04-05,291,6,1,35000,1,35000,0,0,2,17,100,3,RUB
548929114,2026-04-05,176,17,1,50701,0,0,0,0,10,6,0,6,RUB
566938282,2026-04-05,24,2,0,0,0,0,0,0,8,0,0,0,RUB
566954273,2026-04-05,19,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-05,1075,148,17,269934,6,95268,0,0,14,11,100,33,RUB
807108695,2026-04-05,86,5,0,0,0,0,0,0,6,0,0,0,RUB
807135461,2026-04-05,172,18,0,0,0,0,0,0,10,0,0,5,RUB
846223764,2026-04-05,927,150,23,218704,15,142608,1,9584,16,15,94,42,RUB
846223785,2026-04-05,770,101,14,195384,10,139560,0,0,13,14,100,31,RUB
846223804,2026-04-05,656,90,8,136016,3,50838,1,17170,14,9,75,19,RUB
859094794,2026-04-05,220,11,0,0,0,0,0,0,5,0,0,2,RUB
859100406,2026-04-05,1436,186,9,288000,6,192000,0,0,13,5,100,48,RUB
859105127,2026-04-05,158,13,0,0,0,0,0,0,8,0,0,3,RUB
859126078,2026-04-05,277,7,0,0,0,0,0,0,3,0,0,1,RUB
876408553,2026-04-05,188,12,3,103503,0,0,0,0,6,25,0,4,RUB
879041649,2026-04-05,319,27,0,0,0,0,0,0,8,0,0,4,RUB
879041650,2026-04-05,199,11,0,0,0,0,0,0,6,0,0,4,RUB
256267836,2026-04-06,17,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-06,3,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-06,915,84,4,149000,3,111750,0,0,9,5,100,22,RUB
270764754,2026-04-06,202,6,0,0,0,0,0,0,3,0,0,1,RUB
