nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-08-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-08-02,9,0,0,0,0,0,0,0,0,0,0,1,RUB
256302010,2026-08-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-08-02,1478,89,4,160000,1,40000,3,120000,6,4,25,22,RUB
270764754,2026-08-02,333,27,0,0,0,0,0,0,8,0,0,5,RUB
284082008,2026-08-02,11,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-08-02,51,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-08-02,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-08-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-08-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-08-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-08-02,4,0,0,0,0,0,0,0,0,0,0,1,RUB
523358338,2026-08-02,49,0,0,0,0,0,0,0,0,0,0,0,RUB
523358339,2026-08-02,7,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-08-02,315,25,3,123000,1,41000,0,0,8,12,100,10,RUB
539825996,2026-08-02,125,0,0,0,0,0,0,0,0,0,0,2,RUB
539838210,2026-08-02,20,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-08-02,14,1,0,0,0,0,0,0,7,0,0,0,RUB
566938282,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-08-02,5,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-08-02,582,101,5,63755,2,25502,1,12751,17,5,67,17,RUB
807108695,2026-08-02,7,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-08-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-08-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-08-02,42,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-08-02,16,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-08-02,635,51,3,120000,1,40000,0,0,8,6,100,16,RUB
859100406,2026-08-02,1296,105,1,36500,1,36500,0,0,8,1,100,29,RUB
859105127,2026-08-02,214,25,1,34500,0,0,1,34500,12,4,0,4,RUB
859126078,2026-08-02,268,14,0,0,0,0,0,0,5,0,0,0,RUB
876408553,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-08-02,70,0,0,0,0,0,0,0,0,0,0,0,RUB
879041650,2026-08-02,451,43,4,140000,1,35000,1,35000,10,9,50,6,RUB
969320633,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-08-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-08-02,70,6,0,0,0,0,0,0,9,0,0,1,RUB
999069062,2026-08-02,8,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-08-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-08-02,48,7,1,1619,0,0,0,0,15,14,0,2,RUB
1094667689,2026-08-02,918,114,2,64200,1,32100,0,0,12,2,100,25,RUB
1123433375,2026-08-02,32,0,1,6300,0,0,0,0,0,0,0,3,RUB
1136072186,2026-08-02,34,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072187,2026-08-02,47,3,0,0,0,0,0,0,6,0,0,0,RUB
1136072188,2026-08-02,17,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072189,2026-08-02,24,2,1,9600,1,9600,0,0,8,50,100,1,RUB
