nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-06-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-29,5,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-29,519,78,3,97500,1,32500,1,32500,15,4,50,10,RUB
256598609,2026-06-29,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-06-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-06-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-29,621,42,3,115503,2,77002,1,38501,7,7,67,12,RUB
270764754,2026-06-29,159,5,0,0,0,0,0,0,3,0,0,1,RUB
284082008,2026-06-29,20,2,0,0,0,0,0,0,10,0,0,0,RUB
293965031,2026-06-29,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-06-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-29,19,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-29,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-29,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-29,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-06-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-29,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-29,138,9,0,0,0,0,0,0,7,0,0,0,RUB
523358338,2026-06-29,111,2,0,0,0,0,0,0,2,0,0,0,RUB
523358339,2026-06-29,9,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-29,826,66,6,255000,2,85000,2,85000,8,9,50,16,RUB
539825996,2026-06-29,225,10,1,58400,1,58400,0,0,4,10,100,2,RUB
539838210,2026-06-29,38,1,0,0,0,0,0,0,3,0,0,2,RUB
548929114,2026-06-29,20,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-29,22,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-06-29,6,0,0,0,0,0,0,0,0,0,0,0,RUB
