nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-04-19,1,1,0,0,0,0,0,0,100,0,0,0,RUB
256267836,2026-04-19,14,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-19,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-19,643,51,3,122802,3,122802,0,0,8,6,100,22,RUB
270764754,2026-04-19,137,7,0,0,0,0,0,0,5,0,0,4,RUB
284082008,2026-04-19,78,3,0,0,0,0,0,0,4,0,0,1,RUB
293965031,2026-04-19,113,5,0,0,0,0,0,0,4,0,0,1,RUB
293981294,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-19,403,17,2,84400,2,84400,0,0,4,12,100,7,RUB
320770642,2026-04-19,20,0,0,0,0,0,0,0,0,0,0,2,RUB
390144701,2026-04-19,112,2,0,0,0,0,0,0,2,0,0,0,RUB
390144767,2026-04-19,16,0,0,0,0,0,0,0,0,0,0,1,RUB
473709751,2026-04-19,49,2,0,0,0,0,0,0,4,0,0,3,RUB
474794632,2026-04-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-19,8,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-19,194,14,0,0,0,0,0,0,7,0,0,6,RUB
523358338,2026-04-19,133,3,0,0,0,0,0,0,2,0,0,4,RUB
523358339,2026-04-19,154,3,0,0,0,0,0,0,2,0,0,3,RUB
526441058,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-19,824,54,1,43898,1,43898,0,0,7,2,100,23,RUB
539825996,2026-04-19,402,33,1,57642,0,0,1,57642,8,3,0,4,RUB
539838210,2026-04-19,47,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-19,32,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-19,28,1,0,0,0,0,0,0,4,0,0,0,RUB
566954273,2026-04-19,12,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-19,1160,189,23,370737,14,225666,1,16119,16,12,93,49,RUB
807108695,2026-04-19,14,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-19,205,14,0,0,0,0,0,0,7,0,0,2,RUB
846223764,2026-04-19,695,77,7,79163,7,79163,0,0,11,9,100,25,RUB
846223785,2026-04-19,943,92,5,77680,3,46608,1,15536,10,5,75,28,RUB
846223804,2026-04-19,463,42,1,20200,1,20200,0,0,9,2,100,23,RUB
859094794,2026-04-19,187,9,0,0,0,0,0,0,5,0,0,2,RUB
859100406,2026-04-19,1421,142,4,137200,4,137200,0,0,10,3,100,41,RUB
859105127,2026-04-19,233,21,2,67000,1,33500,1,33500,9,10,50,7,RUB
859126078,2026-04-19,318,11,1,76000,1,76000,0,0,3,9,100,4,RUB
876408553,2026-04-19,340,41,3,103503,2,69002,1,34501,12,7,67,14,RUB
879041649,2026-04-19,474,31,0,0,0,0,0,0,7,0,0,8,RUB
879041650,2026-04-19,375,26,1,34300,1,34300,0,0,7,4,100,5,RUB
969113476,2026-04-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-04-19,2,1,0,0,0,0,0,0,50,0,0,0,RUB
969320627,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,1,RUB
969320631,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-20,23,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-20,739,57,3,122802,2,81868,1,40934,8,5,67,18,RUB
270764754,2026-04-20,182,6,0,0,0,0,0,0,3,0,0,0,RUB
284082008,2026-04-20,72,2,0,0,0,0,0,0,3,0,0,0,RUB
293965031,2026-04-20,95,3,0,0,0,0,0,0,3,0,0,2,RUB
293981294,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-20,584,31,1,42200,1,42200,0,0,5,3,100,10,RUB
320770642,2026-04-20,20,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-20,87,1,0,0,0,0,0,0,1,0,0,0,RUB
390144767,2026-04-20,14,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-04-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-20,22,2,0,0,0,0,0,0,9,0,0,0,RUB
490317491,2026-04-20,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-20,91,4,0,0,0,0,0,0,4,0,0,0,RUB
523358338,2026-04-20,135,7,0,0,0,0,0,0,5,0,0,2,RUB
523358339,2026-04-20,143,12,0,0,0,0,0,0,8,0,0,0,RUB
534738794,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-20,596,39,0,0,0,0,0,0,7,0,0,19,RUB
539825996,2026-04-20,328,17,0,0,0,0,0,0,5,0,0,3,RUB
539838210,2026-04-20,33,0,0,0,0,0,0,0,0,0,0,3,RUB
548929114,2026-04-20,27,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-20,13,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-04-20,31,0,0,0,0,0,0,0,0,0,0,1,RUB
636124583,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-20,1055,153,18,290142,15,241785,1,16119,15,12,94,39,RUB
807108695,2026-04-20,10,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-20,216,15,0,0,0,0,0,0,7,0,0,5,RUB
846223764,2026-04-20,603,72,11,124399,8,90472,1,11309,12,15,89,17,RUB
846223785,2026-04-20,879,106,8,124288,7,108752,0,0,12,8,100,34,RUB
846223804,2026-04-20,293,36,1,20200,1,20200,0,0,12,3,100,11,RUB
859094794,2026-04-20,202,13,0,0,0,0,0,0,6,0,0,3,RUB
859100406,2026-04-20,1403,148,6,205800,4,137200,0,0,11,4,100,45,RUB
859105127,2026-04-20,192,36,2,67000,2,67000,0,0,19,6,100,5,RUB
859126078,2026-04-20,264,8,0,0,0,0,0,0,3,0,0,3,RUB
876408553,2026-04-20,252,22,3,103503,1,34501,1,34501,9,14,50,14,RUB
879041649,2026-04-20,347,26,1,34300,1,34300,0,0,7,4,100,12,RUB
879041650,2026-04-20,370,12,0,0,0,0,0,0,3,0,0,13,RUB
969113476,2026-04-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-04-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-04-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-21,20,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-21,553,46,2,81868,1,40934,0,0,8,4,100,12,RUB
270764754,2026-04-21,152,2,0,0,0,0,0,0,1,0,0,1,RUB
284082008,2026-04-21,77,2,0,0,0,0,0,0,3,0,0,1,RUB
293965031,2026-04-21,81,3,0,0,0,0,0,0,4,0,0,2,RUB
293986771,2026-04-21,168,5,1,42200,1,42200,0,0,3,20,100,5,RUB
320770642,2026-04-21,20,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-21,27,1,1,40950,0,0,0,0,4,100,0,1,RUB
390144767,2026-04-21,15,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
