nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256219937,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,1,RUB
256236042,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-29,6,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-29,112,9,1,27200,0,0,0,0,8,11,0,3,RUB
270762735,2026-07-29,1006,38,11,352000,4,128000,1,32000,4,29,80,28,RUB
270764754,2026-07-29,231,14,1,27200,0,0,0,0,6,7,0,6,RUB
284082008,2026-07-29,25,1,1,39120,0,0,0,0,4,100,0,2,RUB
293965031,2026-07-29,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-29,14,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-07-29,13,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-07-29,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-07-29,64,1,0,0,0,0,0,0,2,0,0,2,RUB
523358339,2026-07-29,9,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-29,376,22,2,65600,0,0,0,0,6,9,0,9,RUB
539825996,2026-07-29,87,1,0,0,0,0,0,0,1,0,0,2,RUB
539838210,2026-07-29,17,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-29,32,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-07-29,381,50,8,105856,2,26464,0,0,13,16,100,7,RUB
807108695,2026-07-29,234,25,1,26000,1,26000,0,0,11,4,100,12,RUB
807135461,2026-07-29,12,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-07-29,6,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-29,199,32,4,43188,0,0,1,10797,16,13,0,6,RUB
846223804,2026-07-29,216,32,3,40401,1,13467,0,0,15,9,100,4,RUB
859094794,2026-07-29,113,0,0,0,0,0,0,0,0,0,0,2,RUB
859100406,2026-07-29,400,13,0,0,0,0,0,0,3,0,0,5,RUB
859105127,2026-07-29,12,0,0,0,0,0,0,0,0,0,0,0,RUB
859126078,2026-07-29,14,0,0,0,0,0,0,0,0,0,0,0,RUB
876408553,2026-07-29,7,1,0,0,0,0,0,0,14,0,0,0,RUB
879041649,2026-07-29,257,30,1,29600,0,0,1,29600,12,3,0,10,RUB
879041650,2026-07-29,223,23,1,28006,1,28006,0,0,10,4,100,7,RUB
969251563,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-29,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-07-29,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-29,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-29,390,14,0,0,0,0,0,0,4,0,0,1,RUB
999069062,2026-07-29,8,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-07-29,4,1,0,0,0,0,0,0,25,0,0,0,RUB
1044992327,2026-07-29,83,9,4,6476,1,1619,1,1619,11,44,50,1,RUB
1094667689,2026-07-29,33,1,0,0,0,0,0,0,3,0,0,1,RUB
1123433375,2026-07-29,1391,150,6,37800,0,0,0,0,11,4,0,23,RUB
1136072186,2026-07-29,2029,250,16,96000,1,6000,1,6000,12,6,50,44,RUB
1136072187,2026-07-29,64,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-07-29,48,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072189,2026-07-29,90,1,1,9600,0,0,0,0,1,100,0,2,RUB
1195387528,2026-07-29,5,0,0,0,0,0,0,0,0,0,0,0,RUB
1195577223,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1195604750,2026-07-29,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-30,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-30,21,0,0,0,0,0,0,0,0,0,0,3,RUB
264720068,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-30,525,2,1,32000,0,0,0,0,0,50,0,14,RUB
270764754,2026-07-30,78,1,0,0,0,0,0,0,1,0,0,1,RUB
284082008,2026-07-30,18,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-07-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-30,14,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-07-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,2,RUB
390144701,2026-07-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-30,6,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
482093243,2026-07-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-07-30,56,0,0,0,0,0,0,0,0,0,0,2,RUB
523358339,2026-07-30,8,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-30,163,3,0,0,0,0,0,0,2,0,0,3,RUB
539825996,2026-07-30,109,0,0,0,0,0,0,0,0,0,0,0,RUB
539838210,2026-07-30,28,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-30,20,0,0,0,0,0,0,0,0,0,0,0,RUB
550160031,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
728866149,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-30,373,55,5,65198,0,0,0,0,15,9,0,7,RUB
807108695,2026-07-30,11,1,0,0,0,0,0,0,9,0,0,0,RUB
807135461,2026-07-30,4,1,0,0,0,0,0,0,25,0,0,1,RUB
846223764,2026-07-30,7,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-30,59,0,0,0,0,0,0,0,0,0,0,3,RUB
846223804,2026-07-30,267,50,8,107736,4,53868,0,0,19,16,100,11,RUB
859094794,2026-07-30,214,14,3,96000,3,96000,0,0,7,21,100,6,RUB
859100406,2026-07-30,378,11,0,0,0,0,0,0,3,0,0,5,RUB
859105127,2026-07-30,7,1,0,0,0,0,0,0,14,0,0,2,RUB
859126078,2026-07-30,11,0,0,0,0,0,0,0,0,0,0,0,RUB
876408553,2026-07-30,4,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-30,450,65,2,59200,0,0,0,0,14,3,0,17,RUB
879041650,2026-07-30,99,0,0,0,0,0,0,0,0,0,0,1,RUB
969101147,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969113476,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-07-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-07-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320631,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-30,6,1,0,0,0,0,0,0,17,0,0,0,RUB
969320634,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-30,10,1,0,0,0,0,0,0,10,0,0,1,RUB
969320636,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-30,202,13,0,0,0,0,0,0,6,0,0,0,RUB
999069062,2026-07-30,10,0,0,0,0,0,0,0,0,0,0,1,RUB
1011335071,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-07-30,143,25,5,8095,2,3238,0,0,17,20,100,5,RUB
1094667689,2026-07-30,77,8,1,26000,1,26000,0,0,10,13,100,3,RUB
1123433375,2026-07-30,1188,169,13,81900,0,0,2,12600,14,8,0,25,RUB
1136072186,2026-07-30,782,72,9,54000,0,0,1,6000,9,13,0,16,RUB
1136072187,2026-07-30,34,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-07-30,37,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072189,2026-07-30,67,0,0,0,0,0,0,0,0,0,0,2,RUB
1178158728,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195324544,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-30,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1195577223,2026-07-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195604750,2026-07-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-07-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-31,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-31,16,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-31,1052,86,1,40000,0,0,0,0,8,1,0,24,RUB
270764754,2026-07-31,311,6,1,34000,0,0,0,0,2,17,0,6,RUB
284082008,2026-07-31,23,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-31,30,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-07-31,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-31,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-31,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-31,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-31,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-07-31,63,0,0,0,0,0,0,0,0,0,0,2,RUB
523358339,2026-07-31,14,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-31,406,38,1,32800,1,32800,0,0,9,3,100,18,RUB
539825996,2026-07-31,84,0,0,0,0,0,0,0,0,0,0,3,RUB
539838210,2026-07-31,25,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-07-31,19,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-07-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-31,3,0,0,0,0,0,0,0,0,0,0,0,RUB
636124582,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-31,307,49,9,114759,0,0,1,12751,16,18,0,9,RUB
807108695,2026-07-31,10,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-07-31,29,4,0,0,0,0,0,0,14,0,0,0,RUB
846223764,2026-07-31,7,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-31,26,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-07-31,213,32,5,67335,0,0,1,13467,15,16,0,13,RUB
859094794,2026-07-31,509,25,1,40000,0,0,0,0,5,4,0,13,RUB
859100406,2026-07-31,663,66,2,73000,0,0,0,0,10,3,0,17,RUB
859105127,2026-07-31,197,37,0,0,0,0,0,0,19,0,0,7,RUB
859126078,2026-07-31,198,9,0,0,0,0,0,0,5,0,0,1,RUB
876408553,2026-07-31,9,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-31,197,13,1,37000,1,37000,0,0,7,8,100,1,RUB
879041650,2026-07-31,358,35,0,0,0,0,0,0,10,0,0,9,RUB
969113476,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-31,110,11,1,6677,0,0,0,0,10,9,0,3,RUB
999069062,2026-07-31,17,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-07-31,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-07-31,51,3,1,1621,1,1621,0,0,6,33,100,1,RUB
1094667689,2026-07-31,685,96,2,64200,0,0,0,0,14,2,0,19,RUB
1123433375,2026-07-31,185,13,2,12600,0,0,0,0,7,15,0,5,RUB
1136072186,2026-07-31,227,23,1,6000,0,0,0,0,10,4,0,8,RUB
1136072187,2026-07-31,10,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-07-31,16,1,0,0,0,0,0,0,6,0,0,2,RUB
1136072189,2026-07-31,19,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-31,2,1,1,135429,0,0,1,135429,50,100,0,0,RUB
1195604750,2026-07-31,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-08-01,9,0,0,0,0,0,0,0,0,0,0,0,RUB
256219937,2026-08-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-08-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-08-01,13,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-08-01,156,14,2,68000,0,0,1,34000,9,14,0,3,RUB
256302010,2026-08-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-08-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-08-01,1472,80,4,160000,0,0,0,0,5,5,0,15,RUB
270764754,2026-08-01,419,22,3,102000,0,0,1,34000,5,14,0,3,RUB
284082008,2026-08-01,12,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-08-01,5,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-08-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-08-01,50,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-08-01,13,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-08-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-08-01,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-08-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-08-01,4,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-08-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-08-01,6,0,0,0,0,0,0,0,0,0,0,1,RUB
523358338,2026-08-01,52,0,0,0,0,0,0,0,0,0,0,0,RUB
523358339,2026-08-01,14,0,0,0,0,0,0,0,0,0,0,1,RUB
526441058,2026-08-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-08-01,143,9,0,0,0,0,0,0,6,0,0,0,RUB
539825996,2026-08-01,65,2,0,0,0,0,0,0,3,0,0,2,RUB
