nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-08,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256219937,2026-06-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-08,14,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-08,529,70,3,97500,1,32500,2,65000,13,4,33,19,RUB
256302010,2026-06-08,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-06-08,5,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-06-08,6,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-06-08,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-08,461,23,2,80000,2,80000,0,0,5,9,100,7,RUB
270764754,2026-06-08,102,3,1,34000,1,34000,0,0,3,33,100,1,RUB
284082008,2026-06-08,29,2,0,0,0,0,0,0,7,0,0,0,RUB
293965031,2026-06-08,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-08,29,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-08,12,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-06-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-08,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-06-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-06-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
447261005,2026-06-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-08,4,0,0,0,0,0,0,0,0,0,0,0,RUB
481451593,2026-06-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-08,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-08,120,3,0,0,0,0,0,0,3,0,0,2,RUB
523358338,2026-06-08,99,3,0,0,0,0,0,0,3,0,0,0,RUB
523358339,2026-06-08,163,8,0,0,0,0,0,0,5,0,0,1,RUB
539825994,2026-06-08,801,58,5,212500,4,170000,1,42500,7,9,80,20,RUB
539825996,2026-06-08,59,0,0,0,0,0,0,0,0,0,0,2,RUB
539838210,2026-06-08,29,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-08,9,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-06-08,33,2,0,0,0,0,0,0,6,0,0,0,RUB
