nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-20,12,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-20,103,6,0,0,0,0,0,0,6,0,0,7,RUB
256602878,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-20,545,28,0,0,0,0,0,0,5,0,0,15,RUB
270764754,2026-06-20,27,0,0,0,0,0,0,0,0,0,0,0,RUB
284082008,2026-06-20,48,4,0,0,0,0,0,0,8,0,0,0,RUB
293965031,2026-06-20,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-20,51,1,0,0,0,0,0,0,2,0,0,0,RUB
320770642,2026-06-20,12,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-20,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-20,13,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-06-20,127,10,0,0,0,0,0,0,8,0,0,3,RUB
523358339,2026-06-20,13,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-20,771,52,3,127500,2,85000,1,42500,7,6,67,27,RUB
539825996,2026-06-20,49,0,0,0,0,0,0,0,0,0,0,1,RUB
539838210,2026-06-20,30,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-20,14,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-06-20,41,2,0,0,0,0,0,0,5,0,0,0,RUB
566954273,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-20,532,71,9,108261,9,108261,0,0,13,13,100,22,RUB
807108695,2026-06-20,9,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-20,11,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-20,35,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-06-20,623,71,11,118767,9,97173,1,10797,11,15,90,21,RUB
846223804,2026-06-20,35,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-06-20,197,9,0,0,0,0,0,0,5,0,0,2,RUB
859100406,2026-06-20,1280,161,6,205800,4,137200,0,0,13,4,100,28,RUB
859105127,2026-06-20,183,21,2,67000,0,0,1,33500,11,10,0,11,RUB
859126078,2026-06-20,245,26,0,0,0,0,0,0,11,0,0,6,RUB
876408553,2026-06-20,179,21,0,0,0,0,0,0,12,0,0,6,RUB
879041649,2026-06-20,386,35,2,72002,1,35501,0,0,9,6,100,13,RUB
879041650,2026-06-20,337,18,0,0,0,0,0,0,5,0,0,8,RUB
969320625,2026-06-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-20,228,31,2,15174,0,0,1,7587,14,6,0,9,RUB
999069062,2026-06-20,73,5,2,14566,1,7283,0,0,7,40,100,2,RUB
1011335068,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-20,1965,310,38,108720,22,62942,5,14305,16,12,81,41,RUB
1094667689,2026-06-20,29,0,0,0,0,0,0,0,0,0,0,0,RUB
1123433375,2026-06-20,171,5,2,16500,1,9900,1,6600,3,40,50,3,RUB
1136072186,2026-06-20,218,27,2,13200,1,6600,0,0,12,7,100,4,RUB
1136072187,2026-06-20,9,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-06-20,291,36,7,64400,5,46000,1,9200,12,19,83,2,RUB
1136072189,2026-06-20,10,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158728,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-06-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-06-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-21,21,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-21,435,53,3,97500,1,32500,0,0,12,6,100,12,RUB
