nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-05-08,16,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-08,129,14,0,0,0,0,0,0,11,0,0,4,RUB
264720068,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-08,292,181,0,0,0,0,0,0,62,0,0,6,RUB
270764754,2026-05-08,82,2,0,0,0,0,0,0,2,0,0,3,RUB
284082008,2026-05-08,40,4,0,0,0,0,0,0,10,0,0,0,RUB
293965031,2026-05-08,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-08,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-08,111,4,0,0,0,0,0,0,4,0,0,3,RUB
320770642,2026-05-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-08,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-08,4,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-08,5,0,0,0,0,0,0,0,0,0,0,0,RUB
478011257,2026-05-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-08,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-08,91,5,0,0,0,0,0,0,5,0,0,2,RUB
523358338,2026-05-08,66,3,0,0,0,0,0,0,5,0,0,1,RUB
523358339,2026-05-08,82,2,1,47000,1,47000,0,0,2,50,100,4,RUB
539825994,2026-05-08,433,42,5,217500,4,174000,0,0,10,12,100,14,RUB
539825996,2026-05-08,185,17,0,0,0,0,0,0,9,0,0,2,RUB
539838210,2026-05-08,40,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-08,16,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-08,13,0,0,0,0,0,0,0,0,0,0,1,RUB
566954273,2026-05-08,4,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-05-08,553,69,9,111390,6,74340,0,0,12,13,100,17,RUB
807108695,2026-05-08,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-08,92,6,0,0,0,0,0,0,7,0,0,4,RUB
846223764,2026-05-08,212,31,2,18016,0,0,1,9008,15,6,0,11,RUB
846223785,2026-05-08,742,75,4,48452,4,48452,0,0,10,5,100,26,RUB
846223804,2026-05-08,76,5,0,0,0,0,0,0,7,0,0,5,RUB
859094794,2026-05-08,73,5,0,0,0,0,0,0,7,0,0,1,RUB
859100406,2026-05-08,753,67,5,171500,5,171500,0,0,9,7,100,16,RUB
859105127,2026-05-08,133,19,0,0,0,0,0,0,14,0,0,2,RUB
859126078,2026-05-08,137,10,0,0,0,0,0,0,7,0,0,3,RUB
876408553,2026-05-08,8,0,0,0,0,0,0,0,0,0,0,1,RUB
879041649,2026-05-08,373,35,5,172500,4,138000,0,0,9,14,100,11,RUB
879041650,2026-05-08,256,28,1,32500,1,32500,0,0,11,4,100,8,RUB
969101147,2026-05-08,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-08,26,6,6,54000,6,54000,0,0,23,100,100,0,RUB
999069062,2026-05-08,11,0,1,9000,1,9000,0,0,0,0,100,0,RUB
1011335071,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-09,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-09,142,15,0,0,0,0,0,0,11,0,0,6,RUB
256302010,2026-05-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-09,289,16,0,0,0,0,0,0,6,0,0,5,RUB
270764754,2026-05-09,84,1,0,0,0,0,0,0,1,0,0,0,RUB
284082008,2026-05-09,45,4,0,0,0,0,0,0,9,0,0,1,RUB
293965031,2026-05-09,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-09,174,13,0,0,0,0,0,0,7,0,0,3,RUB
320770642,2026-05-09,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-09,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-09,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-09,9,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-05-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473507069,2026-05-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
