nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-07,14,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-07,172,16,1,32500,1,32500,0,0,9,6,100,3,RUB
270762735,2026-05-07,343,22,0,0,0,0,0,0,6,0,0,8,RUB
270764754,2026-05-07,121,5,0,0,0,0,0,0,4,0,0,4,RUB
284082008,2026-05-07,31,1,0,0,0,0,0,0,3,0,0,0,RUB
293965031,2026-05-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-07,37,0,0,0,0,0,0,0,0,0,0,2,RUB
320770642,2026-05-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-07,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-07,105,6,0,0,0,0,0,0,6,0,0,2,RUB
523358338,2026-05-07,79,5,0,0,0,0,0,0,6,0,0,0,RUB
523358339,2026-05-07,84,1,1,47000,1,47000,0,0,1,100,100,1,RUB
526441058,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-07,541,39,1,43500,1,43500,0,0,7,3,100,15,RUB
539825996,2026-05-07,237,9,2,112800,2,112800,0,0,4,22,100,6,RUB
539838210,2026-05-07,47,4,1,35000,1,35000,0,0,9,25,100,1,RUB
548929114,2026-05-07,16,0,0,0,0,0,0,0,0,0,0,0,RUB
551363945,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-07,39,2,0,0,0,0,0,0,5,0,0,2,RUB
566954273,2026-05-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-07,757,110,19,231684,15,182845,0,0,15,17,100,26,RUB
807108695,2026-05-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-07,71,2,0,0,0,0,0,0,3,0,0,4,RUB
846223764,2026-05-07,286,38,0,0,0,0,0,0,13,0,0,8,RUB
846223785,2026-05-07,878,120,9,106124,5,58724,0,0,14,8,100,29,RUB
846223804,2026-05-07,92,10,0,0,0,0,0,0,11,0,0,6,RUB
859094794,2026-05-07,93,4,1,41500,1,41500,0,0,4,25,100,3,RUB
859100406,2026-05-07,753,64,2,68600,1,34300,1,34300,8,3,50,22,RUB
859105127,2026-05-07,154,20,0,0,0,0,0,0,13,0,0,5,RUB
859126078,2026-05-07,155,7,1,76000,1,76000,0,0,5,14,100,1,RUB
876408553,2026-05-07,8,0,0,0,0,0,0,0,0,0,0,4,RUB
879041649,2026-05-07,485,49,1,34500,1,34500,0,0,10,2,100,7,RUB
879041650,2026-05-07,338,20,2,65000,1,32500,0,0,6,10,100,5,RUB
969113476,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-05-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-05-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-05-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-07,11,2,2,18000,2,18000,0,0,18,100,100,0,RUB
999069062,2026-05-07,6,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335068,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-05-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-08,16,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-08,129,14,0,0,0,0,0,0,11,0,0,4,RUB
264720068,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-08,292,181,0,0,0,0,0,0,62,0,0,6,RUB
270764754,2026-05-08,82,2,0,0,0,0,0,0,2,0,0,3,RUB
284082008,2026-05-08,40,4,0,0,0,0,0,0,10,0,0,0,RUB
293965031,2026-05-08,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-08,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-08,111,4,0,0,0,0,0,0,4,0,0,3,RUB
320770642,2026-05-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-08,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-08,4,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-08,5,0,0,0,0,0,0,0,0,0,0,0,RUB
478011257,2026-05-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-05-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-08,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-08,91,5,0,0,0,0,0,0,5,0,0,2,RUB
523358338,2026-05-08,66,3,0,0,0,0,0,0,5,0,0,1,RUB
523358339,2026-05-08,82,2,1,47000,1,47000,0,0,2,50,100,4,RUB
539825994,2026-05-08,433,42,5,217500,4,174000,0,0,10,12,100,14,RUB
539825996,2026-05-08,185,17,0,0,0,0,0,0,9,0,0,2,RUB
539838210,2026-05-08,40,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-08,16,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-08,13,0,0,0,0,0,0,0,0,0,0,1,RUB
566954273,2026-05-08,4,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-05-08,553,69,9,111390,6,74340,0,0,12,13,100,17,RUB
807108695,2026-05-08,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-08,92,6,0,0,0,0,0,0,7,0,0,4,RUB
846223764,2026-05-08,212,31,2,18016,0,0,1,9008,15,6,0,11,RUB
846223785,2026-05-08,742,75,4,48452,4,48452,0,0,10,5,100,26,RUB
846223804,2026-05-08,76,5,0,0,0,0,0,0,7,0,0,5,RUB
859094794,2026-05-08,73,5,0,0,0,0,0,0,7,0,0,1,RUB
859100406,2026-05-08,753,67,5,171500,4,137200,0,0,9,7,100,16,RUB
