nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-13,5,0,0,0,0,0,0,0,0,0,0,3,RUB
256286306,2026-06-13,464,67,3,97500,1,32500,0,0,14,4,100,19,RUB
256600547,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-06-13,3,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-13,372,27,2,80000,2,80000,0,0,7,7,100,6,RUB
270764754,2026-06-13,79,1,0,0,0,0,0,0,1,0,0,1,RUB
284082008,2026-06-13,21,2,0,0,0,0,0,0,10,0,0,0,RUB
293986771,2026-06-13,36,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-06-13,14,0,0,0,0,0,0,0,0,0,0,2,RUB
390144022,2026-06-13,3,0,0,0,0,0,0,0,0,0,0,1,RUB
390144767,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-13,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-13,107,10,0,0,0,0,0,0,9,0,0,2,RUB
523358338,2026-06-13,71,3,1,68000,1,68000,0,0,4,33,100,0,RUB
523358339,2026-06-13,10,0,0,0,0,0,0,0,0,0,0,1,RUB
535777166,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-06-13,752,84,3,127500,3,127500,0,0,11,4,100,15,RUB
539825996,2026-06-13,35,0,0,0,0,0,0,0,0,0,0,0,RUB
539838210,2026-06-13,16,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-06-13,17,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-13,25,3,0,0,0,0,0,0,12,0,0,0,RUB
566954273,2026-06-13,4,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-13,824,141,23,276667,12,144348,2,24058,17,16,86,28,RUB
807108695,2026-06-13,4,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-13,9,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-13,172,1,1,9584,1,9584,0,0,1,100,100,2,RUB
846223785,2026-06-13,663,95,12,129564,8,86376,1,10797,14,13,89,17,RUB
846223804,2026-06-13,44,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-06-13,124,7,0,0,0,0,0,0,6,0,0,1,RUB
859100406,2026-06-13,779,102,9,308700,9,308700,0,0,13,9,100,26,RUB
859105127,2026-06-13,161,13,0,0,0,0,0,0,8,0,0,3,RUB
859126078,2026-06-13,224,14,0,0,0,0,0,0,6,0,0,6,RUB
876408553,2026-06-13,142,19,0,0,0,0,0,0,13,0,0,4,RUB
879041649,2026-06-13,220,10,0,0,0,0,0,0,5,0,0,1,RUB
879041650,2026-06-13,241,19,0,0,0,0,0,0,8,0,0,5,RUB
969320634,2026-06-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-13,366,40,4,31560,3,23670,0,0,11,10,100,15,RUB
999069062,2026-06-13,266,26,1,7283,1,7283,0,0,10,4,100,8,RUB
1011335068,2026-06-13,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-06-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-13,2644,327,50,143001,33,94380,4,11440,12,15,89,52,RUB
1094667689,2026-06-13,19,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-14,17,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-14,585,66,2,65000,2,65000,0,0,11,3,100,23,RUB
256602878,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-14,434,31,3,120000,2,80000,0,0,7,10,100,12,RUB
270764754,2026-06-14,92,3,0,0,0,0,0,0,3,0,0,1,RUB
284082008,2026-06-14,38,2,0,0,0,0,0,0,5,0,0,1,RUB
293965031,2026-06-14,11,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-14,26,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-06-14,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-14,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-14,8,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
474794632,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-06-14,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-14,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-14,110,4,2,118002,2,118002,0,0,4,50,100,0,RUB
523358338,2026-06-14,81,4,0,0,0,0,0,0,5,0,0,2,RUB
523358339,2026-06-14,25,0,0,0,0,0,0,0,0,0,0,5,RUB
535777166,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-06-14,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-14,999,87,4,170000,3,127500,0,0,9,5,100,26,RUB
539825996,2026-06-14,50,0,0,0,0,0,0,0,0,0,0,0,RUB
539838210,2026-06-14,29,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-14,12,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-14,52,2,0,0,0,0,0,0,4,0,0,0,RUB
566954273,2026-06-14,7,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-14,983,181,27,324789,17,204493,5,60145,18,15,77,43,RUB
807108695,2026-06-14,6,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-14,16,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-14,183,3,1,9584,1,9584,0,0,2,33,100,1,RUB
846223785,2026-06-14,827,105,7,75579,3,32391,1,10797,13,7,75,32,RUB
846223804,2026-06-14,59,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-06-14,157,14,0,0,0,0,0,0,9,0,0,2,RUB
859100406,2026-06-14,894,109,6,205800,6,205800,0,0,12,6,100,32,RUB
859105127,2026-06-14,188,21,0,0,0,0,0,0,11,0,0,3,RUB
859126078,2026-06-14,177,8,0,0,0,0,0,0,5,0,0,3,RUB
876408553,2026-06-14,210,22,2,69002,1,34501,0,0,10,9,100,5,RUB
879041649,2026-06-14,212,9,1,37500,0,0,0,0,4,11,0,3,RUB
879041650,2026-06-14,252,15,0,0,0,0,0,0,6,0,0,6,RUB
969320622,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-14,492,54,4,31560,2,15780,0,0,11,7,100,11,RUB
999069062,2026-06-14,179,22,4,29132,1,7283,0,0,12,18,100,5,RUB
1011335068,2026-06-14,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335069,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-06-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-06-14,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-14,2594,307,52,148720,34,97240,4,11440,12,17,89,53,RUB
1094667689,2026-06-14,18,0,0,0,0,0,0,0,0,0,0,0,RUB
1123433375,2026-06-14,4,1,0,0,0,0,0,0,25,0,0,0,RUB
1136072186,2026-06-14,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072187,2026-06-14,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-06-14,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072189,2026-06-14,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-06-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-15,13,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-15,614,80,14,455000,14,455000,0,0,13,18,100,12,RUB
264722623,2026-06-15,3,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-15,425,34,5,200000,3,120000,1,40000,8,15,75,5,RUB
270764754,2026-06-15,117,9,0,0,0,0,0,0,8,0,0,0,RUB
284082008,2026-06-15,29,1,0,0,0,0,0,0,3,0,0,1,RUB
293965031,2026-06-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-15,25,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-15,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-06-15,5,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-15,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-15,25,1,0,0,0,0,0,0,4,0,0,0,RUB
523358338,2026-06-15,129,5,1,68000,0,0,0,0,4,20,0,2,RUB
523358339,2026-06-15,19,1,0,0,0,0,0,0,5,0,0,1,RUB
526441058,2026-06-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-15,839,59,3,127500,3,127500,0,0,7,5,100,22,RUB
539825996,2026-06-15,54,0,0,0,0,0,0,0,0,0,0,1,RUB
539838210,2026-06-15,20,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-15,11,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-15,40,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-06-15,5,0,0,0,0,0,0,0,0,0,0,0,RUB
614130568,2026-06-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
636124582,2026-06-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-15,859,146,23,276667,12,144348,5,60145,17,16,71,30,RUB
807108695,2026-06-15,4,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-15,12,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-15,169,8,0,0,0,0,0,0,5,0,0,2,RUB
846223785,2026-06-15,762,90,7,75579,4,43188,0,0,12,8,100,28,RUB
846223804,2026-06-15,54,0,0,0,0,0,0,0,0,0,0,2,RUB
859094794,2026-06-15,133,26,0,0,0,0,0,0,20,0,0,3,RUB
859100406,2026-06-15,896,107,7,240100,6,205800,0,0,12,7,100,18,RUB
859105127,2026-06-15,114,17,1,32501,0,0,0,0,15,6,0,2,RUB
859126078,2026-06-15,224,15,0,0,0,0,0,0,7,0,0,1,RUB
876408553,2026-06-15,230,15,1,34501,1,34501,0,0,7,7,100,6,RUB
879041649,2026-06-15,246,10,3,112500,1,37500,2,75000,4,30,33,3,RUB
879041650,2026-06-15,225,13,2,74000,1,37000,1,37000,6,15,50,5,RUB
969320623,2026-06-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-06-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-15,458,44,6,47340,4,31560,0,0,10,14,100,7,RUB
999069062,2026-06-15,546,51,4,29132,4,29132,0,0,9,8,100,14,RUB
1011335069,2026-06-15,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-06-15,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-15,2265,253,36,97240,22,59180,4,10780,11,14,85,41,RUB
1094667689,2026-06-15,20,0,0,0,0,0,0,0,0,0,0,0,RUB
1123433375,2026-06-15,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072186,2026-06-15,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072187,2026-06-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-06-15,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-16,516,66,32,1040000,1,32500,30,975000,13,48,3,11,RUB
256302010,2026-06-16,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-16,347,27,2,80000,2,80000,0,0,8,7,100,8,RUB
270764754,2026-06-16,91,8,2,68000,1,34000,0,0,9,25,100,1,RUB
284082008,2026-06-16,46,2,0,0,0,0,0,0,4,0,0,1,RUB
293965031,2026-06-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-16,35,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-06-16,4,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-16,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-06-16,152,8,1,68000,0,0,0,0,5,13,0,3,RUB
523358339,2026-06-16,17,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-06-16,678,55,5,212500,3,127500,0,0,8,9,100,15,RUB
539825996,2026-06-16,36,0,0,0,0,0,0,0,0,0,0,4,RUB
539838210,2026-06-16,26,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-16,7,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-06-16,37,3,0,0,0,0,0,0,8,0,0,2,RUB
760090343,2026-06-16,976,135,27,324783,10,120290,3,36087,14,20,77,29,RUB
807108695,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-16,12,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-16,72,2,1,9584,0,0,0,0,3,50,0,1,RUB
846223785,2026-06-16,800,93,21,226737,9,97173,1,10797,12,23,90,27,RUB
846223804,2026-06-16,61,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-06-16,123,15,0,0,0,0,0,0,12,0,0,1,RUB
859100406,2026-06-16,863,105,5,171500,4,137200,0,0,12,5,100,29,RUB
859105127,2026-06-16,120,14,0,0,0,0,0,0,12,0,0,4,RUB
859126078,2026-06-16,232,10,0,0,0,0,0,0,4,0,0,4,RUB
876408553,2026-06-16,233,20,3,103503,3,103503,0,0,9,15,100,4,RUB
879041649,2026-06-16,221,16,0,0,0,0,0,0,7,0,0,5,RUB
879041650,2026-06-16,196,9,0,0,0,0,0,0,5,0,0,2,RUB
969320622,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-06-16,7,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-16,347,31,2,15780,1,7890,0,0,9,6,100,5,RUB
999069062,2026-06-16,148,6,3,21849,1,7283,0,0,4,50,100,4,RUB
1011335069,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-06-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-16,2853,315,62,153433,37,91863,5,12508,11,20,88,49,RUB
1094667689,2026-06-16,16,0,0,0,0,0,0,0,0,0,0,0,RUB
1123433375,2026-06-16,24,2,2,24000,0,0,0,0,8,100,0,0,RUB
1136072186,2026-06-16,21,2,2,24000,0,0,0,0,10,100,0,0,RUB
1136072187,2026-06-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-06-16,29,4,3,45600,2,30400,0,0,14,75,100,1,RUB
1136072189,2026-06-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-06-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-17,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-17,415,54,4,130000,1,32500,0,0,13,7,100,7,RUB
270762735,2026-06-17,477,39,3,120000,0,0,1,40000,8,8,0,10,RUB
270764754,2026-06-17,38,0,0,0,0,0,0,0,0,0,0,2,RUB
284082008,2026-06-17,52,0,0,0,0,0,0,0,0,0,0,2,RUB
293965031,2026-06-17,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-17,33,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-17,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-17,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-17,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-06-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-17,4,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-06-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-17,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-17,13,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-06-17,159,10,0,0,0,0,0,0,6,0,0,5,RUB
523358339,2026-06-17,15,0,0,0,0,0,0,0,0,0,0,3,RUB
539825994,2026-06-17,793,81,7,297500,1,42500,0,0,10,9,100,14,RUB
539825996,2026-06-17,82,4,1,58400,1,58400,0,0,5,25,100,3,RUB
539838210,2026-06-17,23,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-17,10,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-17,59,4,0,0,0,0,0,0,7,0,0,0,RUB
566954273,2026-06-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-17,906,141,27,324783,10,120290,0,0,16,19,100,20,RUB
807108695,2026-06-17,3,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-17,18,0,0,0,0,0,0,0,0,0,0,1,RUB
846223764,2026-06-17,56,0,0,0,0,0,0,0,0,0,0,2,RUB
846223785,2026-06-17,841,104,10,107970,1,10797,0,0,12,10,100,20,RUB
846223804,2026-06-17,59,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-06-17,179,14,0,0,0,0,0,0,8,0,0,4,RUB
859100406,2026-06-17,1141,125,14,480200,9,308700,0,0,11,11,100,34,RUB
859105127,2026-06-17,168,27,2,67000,0,0,0,0,16,7,0,3,RUB
859126078,2026-06-17,252,16,0,0,0,0,0,0,6,0,0,0,RUB
876408553,2026-06-17,255,24,1,34501,0,0,1,34501,9,4,0,10,RUB
879041649,2026-06-17,225,10,2,75000,1,37500,0,0,4,20,100,6,RUB
879041650,2026-06-17,179,10,0,0,0,0,0,0,6,0,0,4,RUB
969264497,2026-06-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-06-17,8,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-06-17,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-06-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-17,278,17,0,0,0,0,0,0,6,0,0,6,RUB
999069062,2026-06-17,70,1,0,0,0,0,0,0,1,0,0,3,RUB
