nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,1,RUB
256267836,2026-05-25,22,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-25,172,12,3,94500,3,94500,0,0,7,25,100,3,RUB
270762735,2026-05-25,664,54,7,283507,5,202505,0,0,8,13,100,15,RUB
270764754,2026-05-25,147,5,0,0,0,0,0,0,3,0,0,0,RUB
284082008,2026-05-25,48,2,0,0,0,0,0,0,4,0,0,2,RUB
293965031,2026-05-25,8,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-05-25,42,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-25,6,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
474794632,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-25,137,15,0,0,0,0,0,0,11,0,0,4,RUB
523358338,2026-05-25,154,5,0,0,0,0,0,0,3,0,0,0,RUB
523358339,2026-05-25,143,5,2,94000,1,47000,0,0,3,40,100,4,RUB
526441058,2026-05-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
535777166,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-25,858,76,8,340000,7,297500,0,0,9,11,100,18,RUB
539825996,2026-05-25,471,30,3,169200,2,112800,0,0,6,10,100,12,RUB
539838210,2026-05-25,44,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-25,28,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-25,32,2,0,0,0,0,0,0,6,0,0,1,RUB
566954273,2026-05-25,11,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-05-25,709,100,13,168883,12,155892,0,0,14,13,100,26,RUB
807108695,2026-05-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-25,115,3,1,31501,1,31501,0,0,3,33,100,2,RUB
846223764,2026-05-25,364,48,9,82800,6,55200,0,0,13,19,100,11,RUB
846223785,2026-05-25,470,50,7,86639,6,74262,0,0,11,14,100,16,RUB
846223804,2026-05-25,119,10,4,67336,0,0,2,33668,8,40,0,2,RUB
859094794,2026-05-25,152,8,0,0,0,0,0,0,5,0,0,2,RUB
859100406,2026-05-25,750,83,4,137200,2,68600,1,34300,11,5,67,17,RUB
859105127,2026-05-25,152,28,1,32501,0,0,1,32501,18,4,0,2,RUB
859126078,2026-05-25,240,15,2,148002,1,74001,0,0,6,13,100,4,RUB
876408553,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-05-25,585,48,2,72000,2,72000,0,0,8,4,100,7,RUB
879041650,2026-05-25,754,77,5,170005,2,68002,0,0,10,6,100,24,RUB
969113476,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-25,716,47,4,32776,3,24582,0,0,7,9,100,12,RUB
999069062,2026-05-25,1756,254,34,275400,22,178200,5,40500,14,13,81,51,RUB
1011335070,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-25,54,29,5,21450,4,16500,0,0,54,17,100,1,RUB
256036969,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-26,21,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-26,227,16,1,31500,0,0,1,31500,7,6,0,7,RUB
270762735,2026-05-26,626,40,4,162004,4,162004,0,0,6,10,100,16,RUB
270764754,2026-05-26,111,4,0,0,0,0,0,0,4,0,0,0,RUB
284082008,2026-05-26,23,1,0,0,0,0,0,0,4,0,0,2,RUB
293965031,2026-05-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-26,20,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-26,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-26,6,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-26,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-26,85,3,1,59001,1,59001,0,0,4,33,100,1,RUB
523358338,2026-05-26,148,4,0,0,0,0,0,0,3,0,0,3,RUB
523358339,2026-05-26,113,4,1,47000,0,0,0,0,4,25,0,1,RUB
