nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-14,36,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-04-14,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-04-14,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-14,1022,62,0,0,0,0,0,0,6,0,0,15,RUB
270764754,2026-04-14,287,20,0,0,0,0,0,0,7,0,0,3,RUB
284082008,2026-04-14,111,1,0,0,0,0,0,0,1,0,0,0,RUB
293965031,2026-04-14,67,3,0,0,0,0,0,0,4,0,0,2,RUB
293981294,2026-04-14,8,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-04-14,264,19,1,42200,1,42200,0,0,7,5,100,1,RUB
320770642,2026-04-14,62,3,2,103200,1,51600,0,0,5,67,100,4,RUB
390144701,2026-04-14,117,2,0,0,0,0,0,0,2,0,0,0,RUB
390144767,2026-04-14,245,12,0,0,0,0,0,0,5,0,0,4,RUB
390144967,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
447261005,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-04-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-14,24,2,0,0,0,0,0,0,8,0,0,0,RUB
490317491,2026-04-14,9,0,0,0,0,0,0,0,0,0,0,1,RUB
523358337,2026-04-14,38,0,0,0,0,0,0,0,0,0,0,1,RUB
523358338,2026-04-14,190,3,0,0,0,0,0,0,2,0,0,5,RUB
523358339,2026-04-14,564,18,0,0,0,0,0,0,3,0,0,11,RUB
539825994,2026-04-14,596,48,5,227570,2,91028,0,0,8,10,100,15,RUB
539825996,2026-04-14,364,16,1,57642,1,57642,0,0,4,6,100,5,RUB
539838210,2026-04-14,140,8,2,70000,1,35000,0,0,6,25,100,3,RUB
548929114,2026-04-14,166,13,0,0,0,0,0,0,8,0,0,6,RUB
566938282,2026-04-14,16,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-04-14,12,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-04-14,893,119,11,177309,10,161190,0,0,13,9,100,30,RUB
807108695,2026-04-14,106,6,0,0,0,0,0,0,6,0,0,0,RUB
807135461,2026-04-14,279,14,0,0,0,0,0,0,5,0,0,4,RUB
846223764,2026-04-14,751,102,10,99670,10,99670,0,0,14,10,100,45,RUB
846223785,2026-04-14,633,78,10,142200,7,99540,1,14220,12,13,88,33,RUB
846223804,2026-04-14,547,64,7,122549,7,122549,0,0,12,11,100,31,RUB
859094794,2026-04-14,287,13,0,0,0,0,0,0,5,0,0,0,RUB
859100406,2026-04-14,971,98,4,137200,1,34300,2,68600,10,4,33,33,RUB
859105127,2026-04-14,232,27,1,33500,1,33500,0,0,12,4,100,2,RUB
859126078,2026-04-14,172,3,0,0,0,0,0,0,2,0,0,1,RUB
876408553,2026-04-14,260,27,2,69002,2,69002,0,0,10,7,100,7,RUB
879041649,2026-04-14,381,32,4,137200,2,68600,1,34300,8,13,67,6,RUB
879041650,2026-04-14,278,21,2,68600,2,68600,0,0,8,10,100,2,RUB
256036969,2026-04-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-04-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-15,17,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-04-15,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-04-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-15,836,68,2,84400,2,84400,0,0,8,3,100,23,RUB
270764754,2026-04-15,251,19,0,0,0,0,0,0,8,0,0,3,RUB
