nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-07-24,9,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-24,405,39,2,68000,1,34000,0,0,10,5,100,6,RUB
256302010,2026-07-24,10,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-24,700,61,3,120000,0,0,1,40000,9,5,0,18,RUB
270764754,2026-07-24,169,4,1,34000,0,0,0,0,2,25,0,2,RUB
284082008,2026-07-24,31,2,0,0,0,0,0,0,6,0,0,0,RUB
293965031,2026-07-24,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-24,21,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-07-24,17,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-24,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-24,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,1,RUB
490317491,2026-07-24,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-24,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-07-24,150,6,0,0,0,0,0,0,4,0,0,3,RUB
523358339,2026-07-24,13,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-24,126,0,0,0,0,0,0,0,0,0,0,12,RUB
539825996,2026-07-24,288,19,1,58400,0,0,1,58400,7,5,0,7,RUB
539838210,2026-07-24,16,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-24,184,18,2,101400,1,50700,0,0,10,11,100,6,RUB
566938282,2026-07-24,38,4,1,81001,1,81001,0,0,11,25,100,0,RUB
566954273,2026-07-24,7,0,0,0,0,0,0,0,0,0,0,0,RUB
614130568,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-24,430,36,8,104894,5,65679,1,12751,8,22,83,6,RUB
807108695,2026-07-24,37,3,0,0,0,0,0,0,8,0,0,0,RUB
807135461,2026-07-24,139,9,0,0,0,0,0,0,6,0,0,2,RUB
846223764,2026-07-24,10,0,0,0,0,0,0,0,0,0,0,2,RUB
846223785,2026-07-24,34,3,0,0,0,0,0,0,9,0,0,1,RUB
846223804,2026-07-24,11,6,0,0,0,0,0,0,55,0,0,0,RUB
859094794,2026-07-24,346,24,2,80002,1,40001,1,40001,7,8,50,6,RUB
859100406,2026-07-24,595,67,5,182500,2,73000,2,73000,11,7,50,12,RUB
859105127,2026-07-24,12,0,0,0,0,0,0,0,0,0,0,1,RUB
859126078,2026-07-24,33,0,0,0,0,0,0,0,0,0,0,1,RUB
876408553,2026-07-24,19,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-24,747,65,5,185000,0,0,2,74000,9,8,0,22,RUB
879041650,2026-07-24,416,48,7,245000,0,0,6,210000,12,15,0,12,RUB
969113476,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-24,119,12,3,20031,3,20031,0,0,10,25,100,4,RUB
999069062,2026-07-24,14,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-07-24,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-07-24,116,6,3,4857,1,1619,0,0,5,50,100,4,RUB
1094667689,2026-07-24,512,66,2,65002,0,0,1,32501,13,3,0,17,RUB
1123433375,2026-07-24,84,9,1,6600,0,0,1,6600,11,11,0,0,RUB
1136072186,2026-07-24,55,0,0,0,0,0,0,0,0,0,0,6,RUB
1136072187,2026-07-24,59,3,0,0,0,0,0,0,5,0,0,0,RUB
1136072188,2026-07-24,26,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072189,2026-07-24,16,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158728,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-24,7,0,0,0,0,0,0,0,0,0,0,0,RUB
1195198814,2026-07-24,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-24,17,2,0,0,0,0,0,0,12,0,0,0,RUB
1195577223,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195604750,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195641585,2026-07-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256219937,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-07-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-25,8,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-25,228,32,3,95200,0,0,0,0,14,9,0,7,RUB
264720068,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-25,1606,115,16,520000,1,32000,3,104000,7,14,25,39,RUB
270764754,2026-07-25,415,29,6,163200,5,136000,0,0,7,21,100,5,RUB
284082008,2026-07-25,66,9,1,39120,0,0,0,0,14,11,0,1,RUB
293965031,2026-07-25,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-25,32,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-07-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-25,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-25,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-25,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-07-25,390,19,3,163200,0,0,0,0,5,16,0,4,RUB
523358339,2026-07-25,11,0,0,0,0,0,0,0,0,0,0,0,RUB
526441058,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534708841,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-07-25,255,17,1,32800,1,32800,0,0,7,6,100,7,RUB
539825996,2026-07-25,545,54,4,186880,0,0,1,46720,10,7,0,16,RUB
539838210,2026-07-25,39,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-25,97,12,1,40560,0,0,0,0,12,8,0,6,RUB
566938282,2026-07-25,8,1,0,0,0,0,0,0,13,0,0,2,RUB
566954273,2026-07-25,12,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-25,467,67,9,119088,2,26464,0,0,14,13,100,11,RUB
807108695,2026-07-25,110,15,4,104000,0,0,0,0,14,27,0,3,RUB
807135461,2026-07-25,127,14,3,81901,1,25200,1,25200,11,21,50,2,RUB
846223764,2026-07-25,11,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-25,212,27,6,64782,0,0,0,0,13,22,0,5,RUB
846223804,2026-07-25,56,7,0,0,0,0,0,0,13,0,0,0,RUB
859094794,2026-07-25,719,77,36,1152000,14,448000,14,448000,11,47,50,16,RUB
859100406,2026-07-25,1413,145,23,671600,1,29200,0,0,10,16,100,30,RUB
859105127,2026-07-25,8,0,0,0,0,0,0,0,0,0,0,0,RUB
859126078,2026-07-25,41,0,0,0,0,0,0,0,0,0,0,1,RUB
876408553,2026-07-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-25,952,98,18,540200,1,29600,3,88800,10,18,25,52,RUB
879041650,2026-07-25,897,107,20,574006,0,0,5,154000,12,19,0,19,RUB
969113476,2026-07-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-25,1,1,0,0,0,0,0,0,100,0,0,0,RUB
999066625,2026-07-25,47,2,1,6677,1,6677,0,0,4,50,100,1,RUB
999069062,2026-07-25,7,0,0,0,0,0,0,0,0,0,0,2,RUB
1011335071,2026-07-25,3,0,0,0,0,0,0,0,0,0,0,1,RUB
1044992327,2026-07-25,78,9,4,6476,0,0,0,0,12,44,0,3,RUB
1094667689,2026-07-25,732,123,19,494000,5,130000,0,0,17,15,100,22,RUB
1123433375,2026-07-25,183,23,2,13200,0,0,0,0,13,9,0,10,RUB
1136072186,2026-07-25,37,0,0,0,0,0,0,0,0,0,0,1,RUB
1136072187,2026-07-25,14,0,1,9600,0,0,1,9600,0,0,0,0,RUB
1136072188,2026-07-25,10,0,0,0,0,0,0,0,0,0,0,2,RUB
1136072189,2026-07-25,18,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158728,2026-07-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-07-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-25,3,1,0,0,0,0,0,0,33,0,0,0,RUB
1195198814,2026-07-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1195280852,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195324544,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195348209,2026-07-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
1195641585,2026-07-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-07-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256219937,2026-07-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-26,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-26,29,1,0,0,0,0,0,0,3,0,0,4,RUB
256302010,2026-07-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-07-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
