nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-05-18,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-18,133,14,1,31500,1,31500,0,0,11,7,100,5,RUB
256302010,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-18,651,54,3,123600,3,123600,0,0,8,6,100,21,RUB
270764754,2026-05-18,168,19,1,35001,0,0,0,0,11,5,0,3,RUB
284082008,2026-05-18,22,1,0,0,0,0,0,0,5,0,0,0,RUB
293965031,2026-05-18,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-18,34,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-05-18,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478011257,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-18,92,14,0,0,0,0,0,0,15,0,0,4,RUB
523358338,2026-05-18,173,4,1,68000,1,68000,0,0,2,25,100,1,RUB
523358339,2026-05-18,114,19,1,47000,1,47000,0,0,17,5,100,2,RUB
539825994,2026-05-18,685,74,4,170000,4,170000,0,0,11,5,100,27,RUB
539825996,2026-05-18,379,18,0,0,0,0,0,0,5,0,0,7,RUB
539838210,2026-05-18,37,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-05-18,23,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-05-18,33,3,0,0,0,0,0,0,9,0,0,1,RUB
566954273,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-18,678,100,14,181874,12,155892,1,12991,15,14,92,27,RUB
807108695,2026-05-18,9,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-18,64,5,0,0,0,0,0,0,8,0,0,5,RUB
846223764,2026-05-18,239,32,4,36032,2,18016,2,18016,13,13,50,7,RUB
846223785,2026-05-18,387,49,7,86639,6,74262,1,12377,13,14,86,17,RUB
846223804,2026-05-18,45,7,0,0,0,0,0,0,16,0,0,1,RUB
859094794,2026-05-18,161,78,0,0,0,0,0,0,48,0,0,2,RUB
859100406,2026-05-18,654,54,0,0,0,0,0,0,8,0,0,22,RUB
859105127,2026-05-18,120,16,1,33000,1,33000,0,0,13,6,100,3,RUB
859126078,2026-05-18,189,9,0,0,0,0,0,0,5,0,0,2,RUB
876408553,2026-05-18,53,8,2,69002,2,69002,0,0,15,25,100,3,RUB
879041649,2026-05-18,508,36,5,172500,4,138000,0,0,7,14,100,22,RUB
879041650,2026-05-18,635,77,5,167505,5,167505,0,0,12,6,100,16,RUB
969264497,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-18,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-18,206,22,1,9000,0,0,1,9000,11,5,0,3,RUB
999069062,2026-05-18,200,18,2,18000,1,9000,0,0,9,11,100,5,RUB
1044992327,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-19,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-19,73,11,2,63000,0,0,0,0,15,18,0,1,RUB
256302010,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256593867,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-19,699,51,2,82400,1,41200,0,0,7,4,100,18,RUB
270764754,2026-05-19,164,10,0,0,0,0,0,0,6,0,0,2,RUB
284082008,2026-05-19,23,2,0,0,0,0,0,0,9,0,0,2,RUB
293965031,2026-05-19,8,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-19,37,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-19,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-19,7,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-19,93,8,0,0,0,0,0,0,9,0,0,1,RUB
523358338,2026-05-19,168,5,0,0,0,0,0,0,3,0,0,5,RUB
523358339,2026-05-19,116,6,1,47000,0,0,1,47000,5,17,0,2,RUB
530096915,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-19,659,52,3,127500,2,85000,0,0,8,6,100,13,RUB
539825996,2026-05-19,354,18,0,0,0,0,0,0,5,0,0,6,RUB
539838210,2026-05-19,51,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-19,12,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-19,31,6,0,0,0,0,0,0,19,0,0,0,RUB
566954273,2026-05-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-19,796,139,14,181874,11,142901,0,0,17,10,100,38,RUB
807108695,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-19,69,6,2,63002,2,63002,0,0,9,33,100,2,RUB
846223764,2026-05-19,313,47,10,91040,10,91040,0,0,15,21,100,8,RUB
846223785,2026-05-19,412,47,5,61885,1,12377,2,24754,11,11,33,13,RUB
846223804,2026-05-19,43,5,0,0,0,0,0,0,12,0,0,0,RUB
859094794,2026-05-19,143,4,0,0,0,0,0,0,3,0,0,0,RUB
859100406,2026-05-19,631,77,6,205800,5,171500,0,0,12,8,100,13,RUB
859105127,2026-05-19,109,5,0,0,0,0,0,0,5,0,0,1,RUB
859126078,2026-05-19,198,15,0,0,0,0,0,0,8,0,0,5,RUB
876408553,2026-05-19,7,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-05-19,517,41,3,104501,0,0,1,35501,8,7,0,9,RUB
879041650,2026-05-19,649,54,2,67502,2,67502,0,0,8,4,100,6,RUB
969101147,2026-05-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
