nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-06-26,12,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-26,297,25,2,65000,0,0,1,32500,8,8,0,7,RUB
256302010,2026-06-26,4,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-26,581,33,3,115503,2,77002,0,0,6,9,100,10,RUB
270764754,2026-06-26,113,7,0,0,0,0,0,0,6,0,0,5,RUB
284082008,2026-06-26,35,4,0,0,0,0,0,0,11,0,0,3,RUB
293965031,2026-06-26,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-26,25,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-26,12,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-26,2,1,0,0,0,0,0,0,50,0,0,0,RUB
390144767,2026-06-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-06-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-26,4,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-26,23,1,0,0,0,0,0,0,4,0,0,1,RUB
523358338,2026-06-26,91,2,0,0,0,0,0,0,2,0,0,1,RUB
523358339,2026-06-26,7,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-06-26,660,41,5,212500,4,170000,0,0,6,12,100,15,RUB
539825996,2026-06-26,116,7,0,0,0,0,0,0,6,0,0,4,RUB
539838210,2026-06-26,24,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-26,13,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-26,46,6,0,0,0,0,0,0,13,0,0,0,RUB
566954273,2026-06-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-26,250,29,3,38253,2,25502,0,0,12,10,100,10,RUB
807108695,2026-06-26,9,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-26,6,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-26,62,1,0,0,0,0,0,0,2,0,0,1,RUB
846223785,2026-06-26,53,1,0,0,0,0,0,0,2,0,0,1,RUB
846223804,2026-06-26,12,0,0,0,0,0,0,0,0,0,0,0,RUB
