nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-12,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-07-12,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-12,12,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-12,466,50,3,99000,1,33000,1,33000,11,6,50,19,RUB
256302010,2026-07-12,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-12,965,77,5,195000,5,195000,0,0,8,6,100,16,RUB
270764754,2026-07-12,199,8,1,34000,1,34000,0,0,4,13,100,1,RUB
284082008,2026-07-12,23,1,0,0,0,0,0,0,4,0,0,1,RUB
293965031,2026-07-12,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-12,41,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-07-12,6,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-07-12,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-12,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-12,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-12,6,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-12,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-12,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-12,100,3,0,0,0,0,0,0,3,0,0,0,RUB
523358338,2026-07-12,161,5,0,0,0,0,0,0,3,0,0,1,RUB
523358339,2026-07-12,11,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-12,1276,131,5,205005,3,123003,1,41001,10,4,75,40,RUB
539825996,2026-07-12,327,15,0,0,0,0,0,0,5,0,0,1,RUB
539838210,2026-07-12,34,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-12,72,5,0,0,0,0,0,0,7,0,0,2,RUB
566938282,2026-07-12,13,2,0,0,0,0,0,0,15,0,0,0,RUB
566954273,2026-07-12,3,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-12,432,76,12,153012,11,140261,0,0,18,16,100,15,RUB
