nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-05-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-11,15,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-11,114,9,1,32500,0,0,0,0,8,11,0,4,RUB
256602878,2026-05-11,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-05-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-11,547,45,2,83900,1,41700,0,0,8,4,100,18,RUB
270764754,2026-05-11,120,6,0,0,0,0,0,0,5,0,0,1,RUB
284082008,2026-05-11,25,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-05-11,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-11,44,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-05-11,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-11,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-11,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-11,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-11,3,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-05-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-11,5,0,0,0,0,0,0,0,0,0,0,1,RUB
474794632,2026-05-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-05-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478011257,2026-05-11,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-11,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-11,93,6,0,0,0,0,0,0,6,0,0,2,RUB
523358338,2026-05-11,107,3,0,0,0,0,0,0,3,0,0,0,RUB
