nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-04-11,9,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-11,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256590631,2026-04-11,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-04-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-04-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-11,632,56,0,0,0,0,0,0,9,0,0,23,RUB
270764754,2026-04-11,174,11,0,0,0,0,0,0,6,0,0,0,RUB
284082008,2026-04-11,68,4,0,0,0,0,0,0,6,0,0,0,RUB
293965031,2026-04-11,80,3,0,0,0,0,0,0,4,0,0,2,RUB
293986771,2026-04-11,187,14,1,42200,1,42200,0,0,7,7,100,6,RUB
320770642,2026-04-11,59,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-04-11,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-11,94,0,0,0,0,0,0,0,0,0,0,3,RUB
390144767,2026-04-11,268,20,2,58800,0,0,2,58800,7,10,0,6,RUB
473709751,2026-04-11,26,5,0,0,0,0,0,0,19,0,0,1,RUB
478490332,2026-04-11,1,0,0,0,0,0,0,0,0,0,0,1,RUB
490317491,2026-04-11,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-11,26,0,0,0,0,0,0,0,0,0,0,2,RUB
523358338,2026-04-11,150,4,0,0,0,0,0,0,3,0,0,2,RUB
523358339,2026-04-11,103,6,0,0,0,0,0,0,6,0,0,1,RUB
526441058,2026-04-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
530096915,2026-04-11,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-11,669,72,2,91028,1,45514,0,0,11,3,100,18,RUB
539825996,2026-04-11,270,15,0,0,0,0,0,0,6,0,0,5,RUB
539838210,2026-04-11,254,12,2,70000,2,70000,0,0,5,17,100,5,RUB
548929114,2026-04-11,102,6,0,0,0,0,0,0,6,0,0,1,RUB
