nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-06,11,1,0,0,0,0,0,0,9,0,0,0,RUB
256286306,2026-07-06,488,45,8,260000,6,195000,2,65000,9,18,75,20,RUB
256602878,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-06,743,67,3,114000,3,114000,0,0,9,4,100,19,RUB
270764754,2026-07-06,145,19,1,34000,0,0,1,34000,13,5,0,2,RUB
284082008,2026-07-06,6,2,0,0,0,0,0,0,33,0,0,0,RUB
293965031,2026-07-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-06,188,17,0,0,0,0,0,0,9,0,0,2,RUB
320770642,2026-07-06,12,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-06,6,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-06,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-06,93,2,0,0,0,0,0,0,2,0,0,0,RUB
523358338,2026-07-06,113,3,0,0,0,0,0,0,3,0,0,2,RUB
523358339,2026-07-06,24,0,0,0,0,0,0,0,0,0,0,0,RUB
526441058,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-06,1470,148,19,734730,6,232020,1,38670,10,13,86,34,RUB
539825996,2026-07-06,260,17,0,0,0,0,0,0,7,0,0,2,RUB
539838210,2026-07-06,126,4,2,70000,0,0,0,0,3,50,0,6,RUB
548929114,2026-07-06,56,4,0,0,0,0,0,0,7,0,0,0,RUB
566938282,2026-07-06,27,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-06,208,43,5,65198,4,52447,0,0,21,12,100,9,RUB
807108695,2026-07-06,65,4,0,0,0,0,0,0,6,0,0,2,RUB
807135461,2026-07-06,104,4,0,0,0,0,0,0,4,0,0,2,RUB
846223764,2026-07-06,24,5,1,9584,1,9584,0,0,21,20,100,1,RUB
846223785,2026-07-06,95,9,1,10797,1,10797,0,0,9,11,100,2,RUB
846223804,2026-07-06,5,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-06,235,21,4,156000,2,78000,2,78000,9,19,50,6,RUB
859100406,2026-07-06,790,88,3,109500,3,109500,0,0,11,3,100,18,RUB
859105127,2026-07-06,188,19,1,33500,1,33500,0,0,10,5,100,8,RUB
859126078,2026-07-06,206,9,0,0,0,0,0,0,4,0,0,5,RUB
876408553,2026-07-06,10,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-06,548,55,2,71002,2,71002,0,0,10,4,100,9,RUB
879041650,2026-07-06,360,33,1,35000,0,0,0,0,9,3,0,7,RUB
969113476,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-06,6,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-07-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-06,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-06,464,54,3,20031,2,13354,1,6677,12,6,67,13,RUB
999069062,2026-07-06,34,0,1,7283,0,0,0,0,0,0,0,2,RUB
1011335071,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-07-06,1756,278,63,136937,43,93972,7,14951,16,23,86,33,RUB
1094667689,2026-07-06,184,7,2,64000,2,64000,0,0,4,29,100,2,RUB
1123433375,2026-07-06,455,36,1,6600,0,0,0,0,8,3,0,8,RUB
1136072186,2026-07-06,863,88,4,25200,2,12600,0,0,10,5,100,24,RUB
1136072187,2026-07-06,385,21,4,38400,2,19200,1,9600,5,19,67,2,RUB
1136072188,2026-07-06,1486,174,12,114000,7,66500,1,9500,12,7,88,53,RUB
1136072189,2026-07-06,272,4,0,0,0,0,0,0,1,0,0,0,RUB
1178158728,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195348209,2026-07-06,5,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-06,6,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-07,586,63,8,260000,6,195000,1,32500,11,13,86,11,RUB
256302010,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-07,687,66,6,228000,3,114000,0,0,10,9,100,18,RUB
270764754,2026-07-07,160,7,1,34000,1,34000,0,0,4,14,100,0,RUB
284082008,2026-07-07,34,2,1,48900,0,0,0,0,6,50,0,2,RUB
293965031,2026-07-07,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-07,208,14,0,0,0,0,0,0,7,0,0,2,RUB
320770642,2026-07-07,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-07,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-07,7,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-07,119,8,0,0,0,0,0,0,7,0,0,3,RUB
523358338,2026-07-07,145,4,0,0,0,0,0,0,3,0,0,5,RUB
523358339,2026-07-07,11,0,0,0,0,0,0,0,0,0,0,0,RUB
526441058,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-07,1636,150,21,812070,20,773400,1,38670,9,14,95,31,RUB
539825996,2026-07-07,340,15,3,175200,2,116800,0,0,4,20,100,4,RUB
539838210,2026-07-07,66,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-07-07,59,5,0,0,0,0,0,0,8,0,0,1,RUB
566938282,2026-07-07,20,2,0,0,0,0,0,0,10,0,0,0,RUB
566954273,2026-07-07,7,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-07,284,43,6,76506,4,51004,0,0,15,14,100,4,RUB
807108695,2026-07-07,66,8,0,0,0,0,0,0,12,0,0,3,RUB
807135461,2026-07-07,186,7,1,31501,1,31501,0,0,4,14,100,2,RUB
846223764,2026-07-07,6,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-07,22,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-07,323,19,3,117000,3,117000,0,0,6,16,100,8,RUB
859100406,2026-07-07,650,58,3,109500,1,36500,0,0,9,5,100,19,RUB
859105127,2026-07-07,111,6,0,0,0,0,0,0,5,0,0,5,RUB
859126078,2026-07-07,290,10,0,0,0,0,0,0,3,0,0,7,RUB
876408553,2026-07-07,11,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-07,642,55,7,248507,7,248507,0,0,9,13,100,10,RUB
879041650,2026-07-07,359,15,1,35000,1,35000,0,0,4,7,100,2,RUB
969113476,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-07,7,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-07-07,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-07,483,72,1,6677,1,6677,0,0,15,1,100,18,RUB
999069062,2026-07-07,19,1,1,7283,0,0,0,0,5,100,0,0,RUB
1011335071,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-07-07,1821,293,75,165976,48,106224,6,13278,16,26,89,38,RUB
1094667689,2026-07-07,216,9,1,32000,1,32000,0,0,4,11,100,2,RUB
1123433375,2026-07-07,568,40,6,39600,3,19800,0,0,7,15,100,7,RUB
1136072186,2026-07-07,1297,141,14,88200,6,37800,2,12600,11,10,75,20,RUB
1136072187,2026-07-07,418,15,5,48000,5,48000,0,0,4,33,100,4,RUB
1136072188,2026-07-07,1288,132,11,104500,8,76000,1,9500,10,8,89,47,RUB
1136072189,2026-07-07,390,6,1,9600,0,0,0,0,2,17,0,0,RUB
1178158733,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1195348209,2026-07-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-07,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256219937,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-08,10,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-08,512,55,4,132000,2,66000,0,0,11,7,100,6,RUB
256302010,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-07-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-08,785,84,6,228000,5,190000,1,38000,11,7,83,15,RUB
270764754,2026-07-08,169,6,0,0,0,0,0,0,4,0,0,0,RUB
284082008,2026-07-08,16,2,0,0,0,0,0,0,13,0,0,0,RUB
293965031,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-08,164,6,0,0,0,0,0,0,4,0,0,2,RUB
320770642,2026-07-08,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-08,10,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-08,124,8,0,0,0,0,0,0,6,0,0,2,RUB
523358338,2026-07-08,128,4,0,0,0,0,0,0,3,0,0,1,RUB
523358339,2026-07-08,18,0,0,0,0,0,0,0,0,0,0,0,RUB
526441058,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-08,1570,139,12,459340,8,306070,1,38200,9,9,89,35,RUB
539825996,2026-07-08,326,14,0,0,0,0,0,0,4,0,0,4,RUB
539838210,2026-07-08,52,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-08,52,3,0,0,0,0,0,0,6,0,0,5,RUB
566938282,2026-07-08,11,2,0,0,0,0,0,0,18,0,0,8,RUB
566954273,2026-07-08,2,1,0,0,0,0,0,0,50,0,0,0,RUB
760090343,2026-07-08,354,74,10,127510,9,114759,1,12751,21,14,90,15,RUB
807108695,2026-07-08,44,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-07-08,144,15,1,31501,0,0,0,0,10,7,0,1,RUB
846223764,2026-07-08,17,0,0,0,0,0,0,0,0,0,0,1,RUB
846223785,2026-07-08,12,0,0,0,0,0,0,0,0,0,0,2,RUB
846223804,2026-07-08,5,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-07-08,389,33,1,39000,1,39000,0,0,8,3,100,7,RUB
