nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
256236042,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-31,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-31,16,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-31,1052,86,1,40000,0,0,0,0,8,1,0,24,RUB
270764754,2026-07-31,311,6,1,34000,0,0,0,0,2,17,0,6,RUB
284082008,2026-07-31,23,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-31,30,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-07-31,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-31,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-31,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-31,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-31,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-07-31,63,0,0,0,0,0,0,0,0,0,0,2,RUB
523358339,2026-07-31,14,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-31,406,38,1,32800,1,32800,0,0,9,3,100,18,RUB
539825996,2026-07-31,84,0,0,0,0,0,0,0,0,0,0,3,RUB
539838210,2026-07-31,25,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-07-31,19,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-07-31,5,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-31,3,0,0,0,0,0,0,0,0,0,0,0,RUB
636124582,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-31,307,49,9,114759,0,0,1,12751,16,18,0,9,RUB
807108695,2026-07-31,10,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-07-31,29,4,0,0,0,0,0,0,14,0,0,0,RUB
846223764,2026-07-31,7,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-31,26,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-07-31,213,32,5,67335,1,13467,1,13467,15,16,50,13,RUB
859094794,2026-07-31,509,25,1,40000,0,0,0,0,5,4,0,13,RUB
859100406,2026-07-31,663,66,2,73000,0,0,0,0,10,3,0,17,RUB
859105127,2026-07-31,197,37,0,0,0,0,0,0,19,0,0,7,RUB
859126078,2026-07-31,198,9,0,0,0,0,0,0,5,0,0,1,RUB
876408553,2026-07-31,9,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-31,197,13,1,37000,1,37000,0,0,7,8,100,1,RUB
879041650,2026-07-31,358,35,0,0,0,0,0,0,10,0,0,9,RUB
969113476,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-31,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-07-31,1,0,0,0,0,0,0,0,0,0,0,0,RUB
