nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-20,23,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-20,739,57,3,122802,2,81868,1,40934,8,5,67,18,RUB
270764754,2026-04-20,182,6,0,0,0,0,0,0,3,0,0,0,RUB
284082008,2026-04-20,72,2,0,0,0,0,0,0,3,0,0,0,RUB
293965031,2026-04-20,95,3,0,0,0,0,0,0,3,0,0,2,RUB
293981294,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-20,584,31,1,42200,1,42200,0,0,5,3,100,10,RUB
320770642,2026-04-20,20,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-20,87,1,0,0,0,0,0,0,1,0,0,0,RUB
390144767,2026-04-20,14,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-04-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-20,22,2,0,0,0,0,0,0,9,0,0,0,RUB
490317491,2026-04-20,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-20,91,4,0,0,0,0,0,0,4,0,0,0,RUB
523358338,2026-04-20,135,7,0,0,0,0,0,0,5,0,0,2,RUB
523358339,2026-04-20,143,12,0,0,0,0,0,0,8,0,0,0,RUB
534738794,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-20,596,39,0,0,0,0,0,0,7,0,0,19,RUB
539825996,2026-04-20,328,17,0,0,0,0,0,0,5,0,0,3,RUB
539838210,2026-04-20,33,0,0,0,0,0,0,0,0,0,0,3,RUB
548929114,2026-04-20,27,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-20,13,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-04-20,31,0,0,0,0,0,0,0,0,0,0,1,RUB
636124583,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-20,1055,153,18,290142,15,241785,1,16119,15,12,94,39,RUB
807108695,2026-04-20,10,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-20,216,15,0,0,0,0,0,0,7,0,0,5,RUB
846223764,2026-04-20,603,72,11,124399,9,101781,1,11309,12,15,90,17,RUB
846223785,2026-04-20,879,106,8,124288,7,108752,0,0,12,8,100,34,RUB
846223804,2026-04-20,293,36,1,20200,1,20200,0,0,12,3,100,11,RUB
