nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-04-18,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-18,828,102,2,82712,2,82712,0,0,12,2,100,25,RUB
270764754,2026-04-18,204,10,0,0,0,0,0,0,5,0,0,3,RUB
284082008,2026-04-18,73,4,0,0,0,0,0,0,5,0,0,1,RUB
293965031,2026-04-18,90,5,0,0,0,0,0,0,6,0,0,1,RUB
293986771,2026-04-18,355,22,4,168800,2,84400,1,42200,6,18,67,6,RUB
320770642,2026-04-18,27,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-18,97,8,2,81900,2,81900,0,0,8,25,100,1,RUB
390144767,2026-04-18,11,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-18,25,2,0,0,0,0,0,0,8,0,0,1,RUB
490317491,2026-04-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-18,178,19,1,61350,1,61350,0,0,11,5,100,9,RUB
523358338,2026-04-18,156,7,0,0,0,0,0,0,4,0,0,2,RUB
523358339,2026-04-18,158,9,0,0,0,0,0,0,6,0,0,2,RUB
534738794,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-18,840,58,3,134181,2,89454,1,44727,7,5,67,23,RUB
539825996,2026-04-18,397,22,0,0,0,0,0,0,6,0,0,9,RUB
539838210,2026-04-18,42,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-18,43,1,0,0,0,0,0,0,2,0,0,0,RUB
566938282,2026-04-18,39,1,1,81000,0,0,0,0,3,100,0,0,RUB
566954273,2026-04-18,6,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-18,971,157,20,322380,17,274023,0,0,16,13,100,36,RUB
807108695,2026-04-18,19,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-18,172,16,2,66400,2,66400,0,0,9,13,100,1,RUB
846223764,2026-04-18,698,81,42,472865,41,461940,0,0,12,52,100,21,RUB
846223785,2026-04-18,934,89,15,232253,13,201707,0,0,10,17,100,25,RUB
846223804,2026-04-18,513,43,2,39390,1,19190,0,0,8,5,100,15,RUB
859094794,2026-04-18,232,18,0,0,0,0,0,0,8,0,0,2,RUB
859100406,2026-04-18,1301,157,8,274400,7,240100,0,0,12,5,100,32,RUB
859105127,2026-04-18,194,21,0,0,0,0,0,0,11,0,0,5,RUB
859126078,2026-04-18,244,8,0,0,0,0,0,0,3,0,0,1,RUB
876408553,2026-04-18,232,32,5,172505,3,103503,1,34501,14,16,75,8,RUB
879041649,2026-04-18,551,31,3,102900,3,102900,0,0,6,10,100,8,RUB
879041650,2026-04-18,419,27,0,0,0,0,0,0,6,0,0,6,RUB
969264497,2026-04-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-04-19,1,1,0,0,0,0,0,0,100,0,0,0,RUB
256267836,2026-04-19,14,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-19,4,0,0,0,0,0,0,0,0,0,0,0,RUB
