nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256219937,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-08,10,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-08,512,55,4,132000,2,66000,0,0,11,7,100,6,RUB
256302010,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-07-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-08,785,84,6,228000,5,190000,1,38000,11,7,83,15,RUB
270764754,2026-07-08,169,6,0,0,0,0,0,0,4,0,0,0,RUB
284082008,2026-07-08,16,2,0,0,0,0,0,0,13,0,0,0,RUB
293965031,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-08,164,6,0,0,0,0,0,0,4,0,0,2,RUB
320770642,2026-07-08,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-08,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-08,10,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-08,124,8,0,0,0,0,0,0,6,0,0,2,RUB
523358338,2026-07-08,128,4,0,0,0,0,0,0,3,0,0,1,RUB
523358339,2026-07-08,18,0,0,0,0,0,0,0,0,0,0,0,RUB
526441058,2026-07-08,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-08,1570,139,12,459340,11,421140,1,38200,9,9,92,35,RUB
539825996,2026-07-08,326,14,0,0,0,0,0,0,4,0,0,4,RUB
539838210,2026-07-08,52,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-08,52,3,0,0,0,0,0,0,6,0,0,5,RUB
566938282,2026-07-08,11,2,0,0,0,0,0,0,18,0,0,8,RUB
566954273,2026-07-08,2,1,0,0,0,0,0,0,50,0,0,0,RUB
760090343,2026-07-08,354,74,10,127510,9,114759,1,12751,21,14,90,15,RUB
807108695,2026-07-08,44,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-07-08,144,15,1,31501,1,31501,0,0,10,7,100,1,RUB
846223764,2026-07-08,17,0,0,0,0,0,0,0,0,0,0,1,RUB
846223785,2026-07-08,12,0,0,0,0,0,0,0,0,0,0,2,RUB
846223804,2026-07-08,5,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-07-08,389,33,1,39000,1,39000,0,0,8,3,100,7,RUB
859100406,2026-07-08,746,67,7,255500,4,146000,2,73000,9,10,67,14,RUB
