nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-27,8,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-27,268,26,1,32500,1,32500,0,0,10,4,100,6,RUB
256302010,2026-06-27,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-27,428,40,1,38501,1,38501,0,0,9,3,100,7,RUB
270764754,2026-06-27,107,5,0,0,0,0,0,0,5,0,0,1,RUB
284082008,2026-06-27,29,0,0,0,0,0,0,0,0,0,0,1,RUB
293965031,2026-06-27,3,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-27,16,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-06-27,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-06-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-27,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-27,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-27,7,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-27,120,6,0,0,0,0,0,0,5,0,0,4,RUB
523358338,2026-06-27,100,3,1,68000,1,68000,0,0,3,33,100,3,RUB
523358339,2026-06-27,13,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-27,638,53,4,170000,2,85000,1,42500,8,8,67,20,RUB
539825996,2026-06-27,160,17,1,58400,1,58400,0,0,11,6,100,6,RUB
539838210,2026-06-27,30,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-27,9,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-27,22,1,0,0,0,0,0,0,5,0,0,0,RUB
566954273,2026-06-27,3,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-27,89,3,3,38253,2,25502,0,0,3,100,100,4,RUB
807135461,2026-06-27,11,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-27,27,2,1,9584,0,0,1,9584,7,50,0,0,RUB
846223785,2026-06-27,47,0,0,0,0,0,0,0,0,0,0,3,RUB
846223804,2026-06-27,7,0,0,0,0,0,0,0,0,0,0,2,RUB
859094794,2026-06-27,164,11,0,0,0,0,0,0,7,0,0,3,RUB
859100406,2026-06-27,550,69,3,109500,3,109500,0,0,13,4,100,15,RUB
859105127,2026-06-27,145,12,0,0,0,0,0,0,8,0,0,2,RUB
859126078,2026-06-27,147,9,0,0,0,0,0,0,6,0,0,5,RUB
876408553,2026-06-27,95,4,1,34501,0,0,0,0,4,25,0,3,RUB
879041649,2026-06-27,406,51,2,71002,2,71002,0,0,13,4,100,4,RUB
879041650,2026-06-27,18,1,0,0,0,0,0,0,6,0,0,0,RUB
969320625,2026-06-27,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-06-27,0,1,1,200000,0,0,1,200000,0,100,0,0,RUB
969320628,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-27,309,41,4,29136,4,29136,0,0,13,10,100,16,RUB
999069062,2026-06-27,22,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-27,1433,218,69,145246,52,109461,4,8420,15,32,93,36,RUB
1094667689,2026-06-27,11,0,0,0,0,0,0,0,0,0,0,0,RUB
1123433375,2026-06-27,58,2,1,6600,0,0,0,0,3,50,0,0,RUB
1136072186,2026-06-27,123,3,1,6300,1,6300,0,0,2,33,100,0,RUB
1136072187,2026-06-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-06-27,196,15,3,36000,1,12000,2,24000,8,20,33,2,RUB
1136072189,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158728,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-06-27,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-06-27,18,2,0,0,0,0,0,0,11,0,0,0,RUB
1195198814,2026-06-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1195280852,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195324544,2026-06-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1195348209,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-06-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-28,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-28,364,40,3,97500,3,97500,0,0,11,8,100,4,RUB
256302010,2026-06-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-06-28,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-06-28,6,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-28,615,48,1,38501,1,38501,0,0,8,2,100,15,RUB
270764754,2026-06-28,124,5,0,0,0,0,0,0,4,0,0,1,RUB
284082008,2026-06-28,27,2,0,0,0,0,0,0,7,0,0,0,RUB
293965031,2026-06-28,3,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-28,14,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-28,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-06-28,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-28,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-28,5,1,0,0,0,0,0,0,20,0,0,0,RUB
490317491,2026-06-28,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-28,154,6,1,59001,1,59001,0,0,4,17,100,1,RUB
523358338,2026-06-28,113,4,0,0,0,0,0,0,4,0,0,0,RUB
523358339,2026-06-28,12,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-28,741,60,2,85000,1,42500,0,0,8,3,100,17,RUB
539825996,2026-06-28,204,9,0,0,0,0,0,0,4,0,0,1,RUB
539838210,2026-06-28,29,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-28,16,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-06-28,21,1,0,0,0,0,0,0,5,0,0,1,RUB
566954273,2026-06-28,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-28,59,0,0,0,0,0,0,0,0,0,0,7,RUB
807135461,2026-06-28,5,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-28,35,2,1,9584,0,0,0,0,6,50,0,0,RUB
846223785,2026-06-28,20,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-06-28,13,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-06-28,232,16,0,0,0,0,0,0,7,0,0,2,RUB
859100406,2026-06-28,183,2,0,0,0,0,0,0,1,0,0,8,RUB
859105127,2026-06-28,165,25,0,0,0,0,0,0,15,0,0,4,RUB
