nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-13,10,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-13,493,47,5,165000,3,99000,0,0,10,11,100,13,RUB
256302010,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-07-13,4,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-13,852,75,5,200000,4,160000,1,40000,9,7,80,27,RUB
270764754,2026-07-13,163,13,0,0,0,0,0,0,8,0,0,4,RUB
284082008,2026-07-13,23,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-07-13,5,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-13,37,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-07-13,14,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-13,4,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-13,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-13,11,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-13,97,2,0,0,0,0,0,0,2,0,0,2,RUB
523358338,2026-07-13,136,3,0,0,0,0,0,0,2,0,0,2,RUB
523358339,2026-07-13,7,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-13,1482,125,8,328008,5,205005,3,123003,8,6,63,47,RUB
539825996,2026-07-13,362,11,3,175200,3,175200,0,0,3,27,100,7,RUB
539838210,2026-07-13,48,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-13,67,4,0,0,0,0,0,0,6,0,0,2,RUB
566938282,2026-07-13,21,1,0,0,0,0,0,0,5,0,0,0,RUB
566954273,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-13,432,71,21,267771,18,229518,1,12751,16,30,95,16,RUB
807108695,2026-07-13,41,3,0,0,0,0,0,0,7,0,0,2,RUB
807135461,2026-07-13,143,9,0,0,0,0,0,0,6,0,0,1,RUB
846223764,2026-07-13,10,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-13,8,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-07-13,295,17,1,39000,1,39000,0,0,6,6,100,6,RUB
859100406,2026-07-13,673,59,4,146000,2,73000,2,73000,9,7,50,18,RUB
859105127,2026-07-13,105,11,3,100500,1,33500,0,0,10,27,100,1,RUB
859126078,2026-07-13,271,12,0,0,0,0,0,0,4,0,0,4,RUB
876408553,2026-07-13,15,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-13,681,61,6,216000,3,108000,1,36000,9,10,75,13,RUB
879041650,2026-07-13,404,26,3,105000,1,35000,1,35000,6,12,50,3,RUB
969113476,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-13,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-13,914,131,10,66770,8,53416,1,6677,14,8,89,27,RUB
999069062,2026-07-13,23,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-07-13,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-07-13,867,92,14,30983,6,13278,2,4426,11,15,75,16,RUB
1094667689,2026-07-13,300,33,1,31680,0,0,0,0,11,3,0,2,RUB
1123433375,2026-07-13,497,24,3,19800,1,6600,1,6600,5,13,50,7,RUB
1136072186,2026-07-13,1321,140,13,81900,9,56700,2,12600,11,9,82,23,RUB
1136072187,2026-07-13,395,30,1,9600,1,9600,0,0,8,3,100,8,RUB
