nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-07-05,14,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-05,508,44,4,130000,3,97500,1,32500,9,9,75,13,RUB
270762735,2026-07-05,799,70,2,76000,2,76000,0,0,9,3,100,16,RUB
270764754,2026-07-05,186,5,0,0,0,0,0,0,3,0,0,1,RUB
284082008,2026-07-05,27,1,0,0,0,0,0,0,4,0,0,1,RUB
293965031,2026-07-05,3,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-07-05,209,27,1,42200,1,42200,0,0,13,4,100,7,RUB
320770642,2026-07-05,13,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
447261005,2026-07-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-05,4,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-05,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-05,122,4,0,0,0,0,0,0,3,0,0,4,RUB
523358338,2026-07-05,129,2,0,0,0,0,0,0,2,0,0,0,RUB
523358339,2026-07-05,26,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-05,1498,143,10,386700,9,348030,1,38670,10,7,90,51,RUB
539825996,2026-07-05,352,16,2,116800,2,116800,0,0,5,13,100,9,RUB
539838210,2026-07-05,281,14,0,0,0,0,0,0,5,0,0,2,RUB
548929114,2026-07-05,111,12,1,50700,0,0,1,50700,11,8,0,2,RUB
566938282,2026-07-05,17,2,0,0,0,0,0,0,12,0,0,1,RUB
566954273,2026-07-05,6,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-05,78,5,2,26464,2,26464,0,0,6,40,100,3,RUB
807108695,2026-07-05,90,5,0,0,0,0,0,0,6,0,0,0,RUB
807135461,2026-07-05,113,2,1,31501,0,0,0,0,2,50,0,0,RUB
846223764,2026-07-05,26,2,0,0,0,0,0,0,8,0,0,1,RUB
846223785,2026-07-05,35,1,0,0,0,0,0,0,3,0,0,3,RUB
846223804,2026-07-05,9,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-05,296,22,0,0,0,0,0,0,7,0,0,8,RUB
859100406,2026-07-05,657,62,5,182500,5,182500,0,0,9,8,100,13,RUB
859105127,2026-07-05,254,24,2,67000,1,33500,0,0,9,8,100,4,RUB
859126078,2026-07-05,252,16,1,74001,0,0,1,74001,6,6,0,8,RUB
876408553,2026-07-05,18,1,0,0,0,0,0,0,6,0,0,0,RUB
879041649,2026-07-05,583,54,2,71002,2,71002,0,0,9,4,100,10,RUB
879041650,2026-07-05,363,24,1,35000,0,0,1,35000,7,4,0,7,RUB
969320623,2026-07-05,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-05,12,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-07-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-05,3,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-05,134,8,4,26708,4,26708,0,0,6,50,100,1,RUB
999069062,2026-07-05,32,0,0,0,0,0,0,0,0,0,0,5,RUB
1011335071,2026-07-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-07-05,1797,299,93,195769,66,138930,3,6315,17,31,96,36,RUB
1094667689,2026-07-05,162,5,0,0,0,0,0,0,3,0,0,3,RUB
1123433375,2026-07-05,352,23,2,13200,1,6600,0,0,7,9,100,1,RUB
1136072186,2026-07-05,524,50,5,31500,2,12600,1,6300,10,10,67,4,RUB
1136072187,2026-07-05,491,32,9,86400,5,48000,1,9600,7,28,83,1,RUB
