nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-07-01,11,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-01,550,63,12,390000,12,390000,0,0,11,19,100,14,RUB
256606412,2026-07-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-01,435,39,5,192505,4,154004,1,38501,9,13,80,12,RUB
270764754,2026-07-01,95,3,0,0,0,0,0,0,3,0,0,2,RUB
284082008,2026-07-01,30,2,0,0,0,0,0,0,7,0,0,0,RUB
293965031,2026-07-01,4,1,0,0,0,0,0,0,25,0,0,0,RUB
293986771,2026-07-01,188,12,2,84400,2,84400,0,0,6,17,100,1,RUB
320770642,2026-07-01,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-01,1,1,0,0,0,0,0,0,100,0,0,0,RUB
390144701,2026-07-01,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478490332,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-01,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-01,140,8,0,0,0,0,0,0,6,0,0,1,RUB
523358338,2026-07-01,119,10,0,0,0,0,0,0,8,0,0,2,RUB
523358339,2026-07-01,18,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-07-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-01,948,103,7,270725,4,154700,1,38675,11,7,80,27,RUB
539825996,2026-07-01,169,7,0,0,0,0,0,0,4,0,0,0,RUB
539838210,2026-07-01,180,12,2,70000,2,70000,0,0,7,17,100,0,RUB
548929114,2026-07-01,40,6,0,0,0,0,0,0,15,0,0,0,RUB
566938282,2026-07-01,21,1,0,0,0,0,0,0,5,0,0,2,RUB
566954273,2026-07-01,5,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-01,40,1,0,0,0,0,0,0,3,0,0,3,RUB
807108695,2026-07-01,33,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-07-01,111,5,0,0,0,0,0,0,5,0,0,3,RUB
846223764,2026-07-01,26,4,1,9584,1,9584,0,0,15,25,100,0,RUB
846223785,2026-07-01,13,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-07-01,197,16,2,78000,1,39000,1,39000,8,13,50,3,RUB
859100406,2026-07-01,549,47,4,146000,3,109500,1,36500,9,9,75,10,RUB
859105127,2026-07-01,88,9,0,0,0,0,0,0,10,0,0,4,RUB
859126078,2026-07-01,149,4,0,0,0,0,0,0,3,0,0,1,RUB
876408553,2026-07-01,76,4,0,0,0,0,0,0,5,0,0,0,RUB
879041649,2026-07-01,461,60,2,71002,2,71002,0,0,13,3,100,9,RUB
879041650,2026-07-01,246,17,1,35000,0,0,1,35000,7,6,0,2,RUB
969320625,2026-07-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-01,226,38,1,6677,0,0,1,6677,17,3,0,9,RUB
999069062,2026-07-01,87,4,2,14568,1,7283,0,0,5,50,100,1,RUB
1044992327,2026-07-01,1463,281,85,178929,60,126301,11,23155,19,30,85,43,RUB
1094667689,2026-07-01,99,6,0,0,0,0,0,0,6,0,0,1,RUB
1123433375,2026-07-01,463,27,0,0,0,0,0,0,6,0,0,3,RUB
1136072186,2026-07-01,703,61,2,12600,1,6300,0,0,9,3,100,15,RUB
1136072187,2026-07-01,29,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-07-01,2160,332,32,299440,21,197980,3,27740,15,10,88,66,RUB
1136072189,2026-07-01,17,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158728,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158731,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-07-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-01,5,1,0,0,0,0,0,0,20,0,0,0,RUB
1195198814,2026-07-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-01,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-02,15,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-02,465,73,5,162500,5,162500,0,0,16,7,100,13,RUB
256302010,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-02,623,39,3,114000,1,38000,1,38000,6,8,50,16,RUB
270764754,2026-07-02,117,8,1,34000,1,34000,0,0,7,13,100,2,RUB
284082008,2026-07-02,25,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-07-02,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-02,214,12,2,84400,2,84400,0,0,6,17,100,6,RUB
320770642,2026-07-02,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-02,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-02,12,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-02,5,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-02,134,2,0,0,0,0,0,0,1,0,0,2,RUB
523358338,2026-07-02,108,2,0,0,0,0,0,0,2,0,0,1,RUB
523358339,2026-07-02,28,0,0,0,0,0,0,0,0,0,0,2,RUB
535799733,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-02,1081,110,3,116025,2,77350,0,0,10,3,100,23,RUB
539825996,2026-07-02,314,21,0,0,0,0,0,0,7,0,0,7,RUB
