nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-23,3,0,0,0,0,0,0,0,0,0,0,1,RUB
256267836,2026-06-23,15,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-06-23,392,49,2,65000,2,65000,0,0,13,4,100,4,RUB
256302010,2026-06-23,3,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-23,497,36,1,38501,1,38501,0,0,7,3,100,5,RUB
270764754,2026-06-23,11,0,0,0,0,0,0,0,0,0,0,0,RUB
284082008,2026-06-23,37,3,0,0,0,0,0,0,8,0,0,1,RUB
293965031,2026-06-23,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-23,27,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-06-23,9,0,0,0,0,0,0,0,0,0,0,1,RUB
390144701,2026-06-23,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-23,5,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-23,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-23,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-23,11,1,0,0,0,0,0,0,9,0,0,0,RUB
523358338,2026-06-23,132,8,1,68000,0,0,0,0,6,13,0,0,RUB
523358339,2026-06-23,25,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-23,674,56,2,85000,1,42500,1,42500,8,4,50,15,RUB
539825996,2026-06-23,39,0,0,0,0,0,0,0,0,0,0,1,RUB
539838210,2026-06-23,21,0,0,0,0,0,0,0,0,0,0,5,RUB
548929114,2026-06-23,13,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-06-23,32,1,0,0,0,0,0,0,3,0,0,0,RUB
566954273,2026-06-23,8,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-23,507,66,13,156377,8,96232,1,12029,13,20,89,21,RUB
807108695,2026-06-23,4,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-23,18,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-23,23,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-06-23,205,23,4,43188,2,21594,1,10797,11,17,67,13,RUB
846223804,2026-06-23,13,0,0,0,0,0,0,0,0,0,0,1,RUB
859094794,2026-06-23,123,10,1,39500,1,39500,0,0,8,10,100,2,RUB
859100406,2026-06-23,781,78,6,213804,3,106902,0,0,10,8,100,13,RUB
859105127,2026-06-23,137,28,10,335000,1,33500,9,301500,20,36,10,4,RUB
859126078,2026-06-23,220,15,1,74001,1,74001,0,0,7,7,100,5,RUB
876408553,2026-06-23,217,27,3,103503,2,69002,0,0,12,11,100,6,RUB
