nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-03-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-03-06,469,15,1,44500,1,44500,0,0,3,7,100,2,RUB
256286306,2026-03-06,40,6,0,0,0,0,0,0,15,0,0,5,RUB
256302010,2026-03-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-03-06,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-03-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-03-06,2400,243,9,308000,9,308000,0,0,10,4,100,71,RUB
270764754,2026-03-06,379,26,5,162500,5,162500,0,0,7,19,100,15,RUB
284082008,2026-03-06,53,0,0,0,0,0,0,0,0,0,0,2,RUB
293965031,2026-03-06,26,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-03-06,624,29,5,206780,5,206780,0,0,5,17,100,14,RUB
320770642,2026-03-06,610,20,0,0,0,0,0,0,3,0,0,5,RUB
390144701,2026-03-06,29,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-03-06,23,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444549643,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
447261005,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-03-06,6,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-03-06,10,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-03-06,439,20,1,61500,1,61500,0,0,5,5,100,6,RUB
523358338,2026-03-06,540,14,1,70500,1,70500,0,0,3,7,100,2,RUB
523358339,2026-03-06,429,17,2,96000,1,48000,1,48000,4,12,50,5,RUB
534738794,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-03-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
