nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-02,15,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-02,465,73,5,162500,5,162500,0,0,16,7,100,13,RUB
256302010,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-02,623,39,3,114000,1,38000,2,76000,6,8,33,16,RUB
270764754,2026-07-02,117,8,1,34000,1,34000,0,0,7,13,100,2,RUB
284082008,2026-07-02,25,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-07-02,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-02,214,12,2,84400,2,84400,0,0,6,17,100,6,RUB
320770642,2026-07-02,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-02,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-02,12,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-02,5,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-02,134,2,0,0,0,0,0,0,1,0,0,2,RUB
523358338,2026-07-02,108,2,0,0,0,0,0,0,2,0,0,1,RUB
523358339,2026-07-02,28,0,0,0,0,0,0,0,0,0,0,2,RUB
535799733,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-02,1081,110,3,116025,2,77350,0,0,10,3,100,23,RUB
539825996,2026-07-02,314,21,0,0,0,0,0,0,7,0,0,7,RUB
539838210,2026-07-02,240,13,0,0,0,0,0,0,5,0,0,3,RUB
548929114,2026-07-02,52,4,0,0,0,0,0,0,8,0,0,2,RUB
566938282,2026-07-02,16,1,0,0,0,0,0,0,6,0,0,0,RUB
566954273,2026-07-02,10,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-02,39,3,0,0,0,0,0,0,8,0,0,3,RUB
807108695,2026-07-02,50,6,0,0,0,0,0,0,12,0,0,1,RUB
807135461,2026-07-02,145,6,0,0,0,0,0,0,4,0,0,4,RUB
846223764,2026-07-02,12,0,1,9584,1,9584,0,0,0,0,100,0,RUB
846223785,2026-07-02,22,0,0,0,0,0,0,0,0,0,0,3,RUB
846223804,2026-07-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-02,256,19,1,39000,1,39000,0,0,7,5,100,5,RUB
859100406,2026-07-02,696,62,3,109500,3,109500,0,0,9,5,100,16,RUB
859105127,2026-07-02,129,14,1,33500,1,33500,0,0,11,7,100,2,RUB
859126078,2026-07-02,246,18,2,148002,1,74001,1,74001,7,11,50,2,RUB
876408553,2026-07-02,63,4,1,34501,1,34501,0,0,6,25,100,1,RUB
879041649,2026-07-02,561,59,2,71002,1,35501,0,0,11,3,100,10,RUB
879041650,2026-07-02,291,19,1,35000,1,35000,0,0,7,5,100,2,RUB
969320625,2026-07-02,8,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-02,365,57,4,26708,4,26708,0,0,16,7,100,7,RUB
999069062,2026-07-02,68,5,1,7283,1,7283,0,0,7,20,100,2,RUB
