nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-06-30,22,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-06-30,671,67,2,65000,2,65000,0,0,10,3,100,16,RUB
256302010,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,1,RUB
270762735,2026-06-30,712,57,4,154004,3,115503,1,38501,8,7,75,10,RUB
270764754,2026-06-30,46,2,1,34000,1,34000,0,0,4,50,100,2,RUB
284082008,2026-06-30,16,1,0,0,0,0,0,0,6,0,0,0,RUB
293965031,2026-06-30,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-30,18,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-30,12,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-06-30,0,1,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-30,169,10,0,0,0,0,0,0,6,0,0,1,RUB
523358338,2026-06-30,136,4,0,0,0,0,0,0,3,0,0,2,RUB
523358339,2026-06-30,36,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-06-30,939,96,13,502775,11,425425,2,77350,10,14,85,22,RUB
539825996,2026-06-30,229,12,0,0,0,0,0,0,5,0,0,4,RUB
539838210,2026-06-30,32,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-30,22,0,0,0,0,0,0,0,0,0,0,2,RUB
566938282,2026-06-30,23,1,0,0,0,0,0,0,4,0,0,0,RUB
566954273,2026-06-30,12,0,0,0,0,0,0,0,0,0,0,0,RUB
614130568,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-30,50,0,0,0,0,0,0,0,0,0,0,5,RUB
807108695,2026-06-30,10,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-30,23,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-30,19,1,0,0,0,0,0,0,5,0,0,0,RUB
846223785,2026-06-30,32,0,0,0,0,0,0,0,0,0,0,2,RUB
846223804,2026-06-30,4,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-06-30,344,22,2,78000,2,78000,0,0,6,9,100,10,RUB
859100406,2026-06-30,170,1,0,0,0,0,0,0,1,0,0,8,RUB
859105127,2026-06-30,148,11,2,67000,1,33500,1,33500,7,18,50,4,RUB
859126078,2026-06-30,171,11,2,148002,1,74001,1,74001,6,18,50,7,RUB
876408553,2026-06-30,23,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-06-30,578,49,2,71002,2,71002,0,0,8,4,100,22,RUB
879041650,2026-06-30,339,28,0,0,0,0,0,0,8,0,0,1,RUB
969113476,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-06-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-06-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-30,199,23,2,14568,2,14568,0,0,12,9,100,7,RUB
999069062,2026-06-30,69,9,1,7283,1,7283,0,0,13,11,100,2,RUB
1011335071,2026-06-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-06-30,1464,198,74,155773,45,94727,10,21051,14,37,82,37,RUB
1094667689,2026-06-30,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1123433375,2026-06-30,328,14,1,6600,1,6600,0,0,4,7,100,0,RUB
1136072186,2026-06-30,430,18,3,18900,3,18900,0,0,4,17,100,3,RUB
1136072187,2026-06-30,23,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-06-30,1623,255,23,218500,17,161500,2,19000,16,9,89,67,RUB
1136072189,2026-06-30,15,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158728,2026-06-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-06-30,5,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-06-30,17,0,0,0,0,0,0,0,0,0,0,0,RUB
1195198814,2026-06-30,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1195280852,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195348209,2026-06-30,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-06-30,6,0,0,0,0,0,0,0,0,0,0,0,RUB
1195577223,2026-06-30,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1195641585,2026-06-30,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-01,11,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-01,550,63,12,390000,11,357500,0,0,11,19,100,14,RUB
256606412,2026-07-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-01,435,39,5,192505,4,154004,1,38501,9,13,80,12,RUB
270764754,2026-07-01,95,3,0,0,0,0,0,0,3,0,0,2,RUB
284082008,2026-07-01,30,2,0,0,0,0,0,0,7,0,0,0,RUB
293965031,2026-07-01,4,1,0,0,0,0,0,0,25,0,0,0,RUB
293986771,2026-07-01,188,12,2,84400,2,84400,0,0,6,17,100,1,RUB
320770642,2026-07-01,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-01,1,1,0,0,0,0,0,0,100,0,0,0,RUB
390144701,2026-07-01,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478490332,2026-07-01,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-01,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-01,140,8,0,0,0,0,0,0,6,0,0,1,RUB
523358338,2026-07-01,119,10,0,0,0,0,0,0,8,0,0,2,RUB
523358339,2026-07-01,18,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-07-01,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-01,948,103,7,270725,4,154700,0,0,11,7,100,27,RUB
539825996,2026-07-01,169,7,0,0,0,0,0,0,4,0,0,0,RUB
539838210,2026-07-01,180,12,2,70000,2,70000,0,0,7,17,100,0,RUB
548929114,2026-07-01,40,6,0,0,0,0,0,0,15,0,0,0,RUB
566938282,2026-07-01,21,1,0,0,0,0,0,0,5,0,0,2,RUB
566954273,2026-07-01,5,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-01,40,1,0,0,0,0,0,0,3,0,0,3,RUB
