nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-05,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-06-05,546,73,11,346500,8,252000,0,0,13,15,100,18,RUB
264722623,2026-06-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-05,488,36,1,40501,1,40501,0,0,7,3,100,7,RUB
270764754,2026-06-05,118,6,6,204000,4,136000,2,68000,5,100,67,1,RUB
284082008,2026-06-05,54,3,0,0,0,0,0,0,6,0,0,0,RUB
293965031,2026-06-05,4,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-06-05,23,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-05,16,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-05,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-05,5,0,0,0,0,0,0,0,0,0,0,3,RUB
390144967,2026-06-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-05,127,11,1,59001,1,59001,0,0,9,9,100,3,RUB
523358338,2026-06-05,125,4,0,0,0,0,0,0,3,0,0,2,RUB
523358339,2026-06-05,26,0,0,0,0,0,0,0,0,0,0,4,RUB
539825994,2026-06-05,882,102,5,195800,4,156640,0,0,12,5,100,25,RUB
539825996,2026-06-05,156,9,1,58400,0,0,0,0,6,11,0,4,RUB
539838210,2026-06-05,27,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-05,21,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-05,21,1,0,0,0,0,0,0,5,0,0,1,RUB
566954273,2026-06-05,3,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-06-05,672,87,12,153012,12,153012,0,0,13,14,100,18,RUB
807108695,2026-06-05,6,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-06-05,102,5,2,63002,0,0,0,0,5,40,0,2,RUB
846223764,2026-06-05,66,2,1,9584,1,9584,0,0,3,50,100,2,RUB
846223785,2026-06-05,541,62,9,109017,8,96904,0,0,11,15,100,20,RUB
846223804,2026-06-05,32,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-06-05,122,12,0,0,0,0,0,0,10,0,0,0,RUB
859100406,2026-06-05,791,93,8,274400,3,102900,1,34300,12,9,75,32,RUB
859105127,2026-06-05,171,18,2,65002,1,32501,1,32501,11,11,50,8,RUB
859126078,2026-06-05,200,14,0,0,0,0,0,0,7,0,0,4,RUB
876408553,2026-06-05,59,5,0,0,0,0,0,0,8,0,0,2,RUB
879041649,2026-06-05,308,23,0,0,0,0,0,0,7,0,0,4,RUB
879041650,2026-06-05,358,25,3,111000,2,74000,0,0,7,12,100,11,RUB
969251563,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-06-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-06-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-06-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-05,1102,81,4,29136,4,29136,0,0,7,5,100,17,RUB
