nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-06-10,9,0,0,0,0,0,0,0,0,0,0,2,RUB
256286306,2026-06-10,473,62,4,130000,2,65000,0,0,13,6,100,11,RUB
256302010,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-10,426,23,0,0,0,0,0,0,5,0,0,8,RUB
270764754,2026-06-10,57,4,4,136000,4,136000,0,0,7,100,100,0,RUB
284082008,2026-06-10,18,1,0,0,0,0,0,0,6,0,0,1,RUB
293965031,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-06-10,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-10,45,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-10,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-10,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-10,140,11,0,0,0,0,0,0,8,0,0,2,RUB
523358338,2026-06-10,125,7,1,68000,0,0,1,68000,6,14,0,3,RUB
523358339,2026-06-10,147,6,0,0,0,0,0,0,4,0,0,3,RUB
534708841,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-06-10,755,55,3,127500,3,127500,0,0,7,5,100,23,RUB
539825996,2026-06-10,276,23,0,0,0,0,0,0,8,0,0,9,RUB
539838210,2026-06-10,32,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-06-10,12,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-10,24,2,0,0,0,0,0,0,8,0,0,0,RUB
566954273,2026-06-10,4,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-10,822,147,27,324783,23,276667,0,0,18,18,100,24,RUB
807108695,2026-06-10,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-10,15,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-06-10,36,0,0,0,0,0,0,0,0,0,0,1,RUB
846223785,2026-06-10,695,80,14,151158,10,107970,2,21594,12,18,83,7,RUB
846223804,2026-06-10,36,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-06-10,108,4,0,0,0,0,0,0,4,0,0,1,RUB
859100406,2026-06-10,876,93,8,274400,5,171500,2,68600,11,9,71,23,RUB
859105127,2026-06-10,124,23,12,390012,12,390012,0,0,19,52,100,3,RUB
859126078,2026-06-10,259,8,0,0,0,0,0,0,3,0,0,8,RUB
876408553,2026-06-10,170,18,2,69002,1,34501,1,34501,11,11,50,4,RUB
879041649,2026-06-10,256,15,1,37500,1,37500,0,0,6,7,100,3,RUB
879041650,2026-06-10,250,10,1,37000,1,37000,0,0,4,10,100,2,RUB
969320622,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-06-10,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-06-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-06-10,3,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-06-10,412,34,3,21852,2,14568,0,0,8,9,100,13,RUB
999069062,2026-06-10,341,6,1,7283,0,0,0,0,2,17,0,17,RUB
1044992327,2026-06-10,1165,133,26,78650,23,69575,0,0,11,20,100,14,RUB
1094667689,2026-06-10,29,0,0,0,0,0,0,0,0,0,0,0,RUB
