nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256267836,2026-05-23,10,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-23,160,17,1,31500,0,0,0,0,11,6,0,5,RUB
256302010,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-23,543,41,0,0,0,0,0,0,8,0,0,12,RUB
270764754,2026-05-23,150,10,0,0,0,0,0,0,7,0,0,3,RUB
284082008,2026-05-23,49,5,0,0,0,0,0,0,10,0,0,1,RUB
293965031,2026-05-23,8,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-23,33,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-23,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-23,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-23,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-23,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-23,4,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-23,81,7,0,0,0,0,0,0,9,0,0,0,RUB
523358338,2026-05-23,135,2,0,0,0,0,0,0,1,0,0,1,RUB
523358339,2026-05-23,113,6,0,0,0,0,0,0,5,0,0,3,RUB
535777166,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-23,623,53,8,340000,4,170000,0,0,9,15,100,11,RUB
539825996,2026-05-23,278,14,1,56400,0,0,1,56400,5,7,0,7,RUB
539838210,2026-05-23,39,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-23,11,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-23,27,1,0,0,0,0,0,0,4,0,0,0,RUB
566954273,2026-05-23,9,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-23,688,104,16,207856,13,168883,0,0,15,15,100,22,RUB
807108695,2026-05-23,6,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-05-23,91,6,0,0,0,0,0,0,7,0,0,3,RUB
846223764,2026-05-23,364,43,3,27600,3,27600,0,0,12,7,100,12,RUB
846223785,2026-05-23,378,43,7,86639,2,24754,3,37131,11,16,40,8,RUB
846223804,2026-05-23,84,6,0,0,0,0,0,0,7,0,0,2,RUB
859094794,2026-05-23,128,13,2,81000,0,0,2,81000,10,15,0,3,RUB
859100406,2026-05-23,714,104,4,137200,4,137200,0,0,15,4,100,27,RUB
859105127,2026-05-23,101,11,0,0,0,0,0,0,11,0,0,1,RUB
859126078,2026-05-23,210,17,0,0,0,0,0,0,8,0,0,1,RUB
876408553,2026-05-23,3,1,0,0,0,0,0,0,33,0,0,1,RUB
879041649,2026-05-23,516,45,1,36501,1,36501,0,0,9,2,100,13,RUB
879041650,2026-05-23,644,56,7,238007,5,170005,1,34001,9,13,83,16,RUB
969320623,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320631,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-23,1227,131,10,81940,4,32776,2,16388,11,8,67,28,RUB
999069062,2026-05-23,1273,163,22,178200,16,129600,1,8100,13,13,94,30,RUB
1011335068,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335069,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-05-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-23,9,2,2,9900,1,4950,0,0,22,100,100,0,RUB
256267836,2026-05-24,12,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-24,150,15,3,94500,2,63000,0,0,10,20,100,5,RUB
256302010,2026-05-24,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-24,566,43,3,121503,2,81002,0,0,8,7,100,19,RUB
270764754,2026-05-24,162,10,0,0,0,0,0,0,6,0,0,11,RUB
284082008,2026-05-24,55,2,0,0,0,0,0,0,4,0,0,4,RUB
293965031,2026-05-24,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-24,5,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-24,38,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-24,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-24,3,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-24,11,0,0,0,0,0,0,0,0,0,0,1,RUB
490317491,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-24,150,12,0,0,0,0,0,0,8,0,0,7,RUB
523358338,2026-05-24,126,11,0,0,0,0,0,0,9,0,0,0,RUB
523358339,2026-05-24,145,8,1,47000,1,47000,0,0,6,13,100,7,RUB
526441058,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-24,725,65,5,212500,3,127500,1,42500,9,8,75,23,RUB
539825996,2026-05-24,329,13,2,112800,2,112800,0,0,4,15,100,7,RUB
539838210,2026-05-24,50,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-24,9,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-24,34,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-05-24,9,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-24,804,105,16,207858,11,142901,1,12991,13,15,92,21,RUB
807108695,2026-05-24,7,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-24,97,0,0,0,0,0,0,0,0,0,0,1,RUB
846223764,2026-05-24,392,45,10,92000,6,55200,0,0,11,22,100,19,RUB
846223785,2026-05-24,420,54,6,74264,3,37131,1,12377,13,11,75,18,RUB
846223804,2026-05-24,112,4,0,0,0,0,0,0,4,0,0,0,RUB
859094794,2026-05-24,150,9,0,0,0,0,0,0,6,0,0,3,RUB
859100406,2026-05-24,803,68,3,102900,2,68600,0,0,8,4,100,29,RUB
859105127,2026-05-24,124,16,1,32501,1,32501,0,0,13,6,100,4,RUB
859126078,2026-05-24,238,16,2,148002,1,74001,1,74001,7,13,50,8,RUB
876408553,2026-05-24,2,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-05-24,566,49,2,73002,1,36501,0,0,9,4,100,19,RUB
879041650,2026-05-24,610,65,1,34001,0,0,0,0,11,2,0,19,RUB
969264497,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-05-24,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-24,5,1,0,0,0,0,0,0,20,0,0,0,RUB
999066625,2026-05-24,970,88,5,40970,4,32776,0,0,9,6,100,21,RUB
999069062,2026-05-24,1433,215,32,259203,15,121500,7,56700,15,15,68,43,RUB
1011335068,2026-05-24,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335069,2026-05-24,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-05-24,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-05-24,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-24,17,4,3,14850,0,0,1,4950,24,75,0,0,RUB
256036969,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,1,RUB
256267836,2026-05-25,22,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-25,172,12,3,94500,2,63000,0,0,7,25,100,3,RUB
270762735,2026-05-25,664,54,7,283507,5,202505,0,0,8,13,100,15,RUB
270764754,2026-05-25,147,5,0,0,0,0,0,0,3,0,0,0,RUB
284082008,2026-05-25,48,2,0,0,0,0,0,0,4,0,0,2,RUB
293965031,2026-05-25,8,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-05-25,42,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-25,6,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
474794632,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-25,137,15,0,0,0,0,0,0,11,0,0,4,RUB
523358338,2026-05-25,154,5,0,0,0,0,0,0,3,0,0,0,RUB
523358339,2026-05-25,143,5,2,94000,1,47000,0,0,3,40,100,4,RUB
526441058,2026-05-25,2,0,0,0,0,0,0,0,0,0,0,0,RUB
535777166,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-25,858,76,8,340000,7,297500,0,0,9,11,100,18,RUB
539825996,2026-05-25,471,30,3,169200,2,112800,0,0,6,10,100,12,RUB
539838210,2026-05-25,44,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-25,28,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-25,32,2,0,0,0,0,0,0,6,0,0,1,RUB
566954273,2026-05-25,11,0,0,0,0,0,0,0,0,0,0,1,RUB
760090343,2026-05-25,709,100,13,168883,10,129910,0,0,14,13,100,26,RUB
807108695,2026-05-25,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-25,115,3,1,31501,0,0,0,0,3,33,0,2,RUB
846223764,2026-05-25,364,48,9,82800,6,55200,0,0,13,19,100,11,RUB
846223785,2026-05-25,470,50,7,86639,4,49508,0,0,11,14,100,16,RUB
846223804,2026-05-25,119,10,4,67336,0,0,2,33668,8,40,0,2,RUB
859094794,2026-05-25,152,8,0,0,0,0,0,0,5,0,0,2,RUB
859100406,2026-05-25,750,83,4,137200,2,68600,1,34300,11,5,67,17,RUB
859105127,2026-05-25,152,28,1,32501,0,0,1,32501,18,4,0,2,RUB
859126078,2026-05-25,240,15,2,148002,1,74001,0,0,6,13,100,4,RUB
876408553,2026-05-25,3,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-05-25,585,48,2,72000,2,72000,0,0,8,4,100,7,RUB
879041650,2026-05-25,754,77,5,170005,2,68002,0,0,10,6,100,24,RUB
969113476,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-25,716,47,4,32776,3,24582,0,0,7,9,100,12,RUB
999069062,2026-05-25,1756,254,34,275400,19,153900,1,8100,14,13,95,51,RUB
1011335070,2026-05-25,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-25,54,29,5,21450,1,4950,0,0,54,17,100,1,RUB
256036969,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-26,21,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-26,227,16,1,31500,0,0,1,31500,7,6,0,7,RUB
270762735,2026-05-26,626,40,4,162004,3,121503,0,0,6,10,100,16,RUB
270764754,2026-05-26,111,4,0,0,0,0,0,0,4,0,0,0,RUB
284082008,2026-05-26,23,1,0,0,0,0,0,0,4,0,0,2,RUB
293965031,2026-05-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-26,20,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-26,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-26,6,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-26,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-26,85,3,1,59001,0,0,0,0,4,33,0,1,RUB
523358338,2026-05-26,148,4,0,0,0,0,0,0,3,0,0,3,RUB
523358339,2026-05-26,113,4,1,47000,0,0,0,0,4,25,0,1,RUB
526441058,2026-05-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
526472350,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-26,764,71,6,255000,3,127500,0,0,9,8,100,13,RUB
539825996,2026-05-26,391,27,2,114800,1,56400,0,0,7,7,100,9,RUB
539838210,2026-05-26,46,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-26,15,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-26,14,1,0,0,0,0,0,0,7,0,0,0,RUB
566954273,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-26,697,86,16,207856,8,103928,0,0,12,19,100,26,RUB
807108695,2026-05-26,8,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-26,158,6,0,0,0,0,0,0,4,0,0,1,RUB
846223764,2026-05-26,380,82,6,55200,6,55200,0,0,22,7,100,8,RUB
846223785,2026-05-26,470,49,6,74262,2,24754,1,12377,10,12,67,19,RUB
846223804,2026-05-26,152,4,0,0,0,0,0,0,3,0,0,0,RUB
859094794,2026-05-26,122,5,2,81000,1,40500,1,40500,4,40,50,5,RUB
859100406,2026-05-26,647,80,3,102900,1,34300,0,0,12,4,100,15,RUB
859105127,2026-05-26,126,13,0,0,0,0,0,0,10,0,0,1,RUB
859126078,2026-05-26,201,7,1,74001,1,74001,0,0,3,14,100,6,RUB
876408553,2026-05-26,2,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-05-26,582,60,0,0,0,0,0,0,10,0,0,22,RUB
879041650,2026-05-26,674,63,4,136004,4,136004,0,0,9,6,100,16,RUB
969101147,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-05-26,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-26,726,69,8,64800,4,32400,1,8100,10,12,80,15,RUB
999069062,2026-05-26,1469,204,8,64800,4,32400,0,0,14,4,100,39,RUB
1044992327,2026-05-26,160,50,9,29700,8,26400,0,0,31,18,100,2,RUB
256036969,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-27,18,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-27,251,12,2,63000,2,63000,0,0,5,17,100,11,RUB
256302010,2026-05-27,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-05-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-27,817,80,2,81002,1,40501,1,40501,10,3,50,22,RUB
270764754,2026-05-27,166,2,0,0,0,0,0,0,1,0,0,1,RUB
284082008,2026-05-27,35,1,0,0,0,0,0,0,3,0,0,1,RUB
293965031,2026-05-27,6,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-27,15,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-27,15,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-27,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478403016,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478490332,2026-05-27,2,0,0,0,0,0,0,0,0,0,0,0,RUB
479841995,2026-05-27,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-27,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-27,128,5,1,59001,1,59001,0,0,4,20,100,5,RUB
523358338,2026-05-27,212,9,2,136000,1,68000,0,0,4,22,100,4,RUB
523358339,2026-05-27,135,3,0,0,0,0,0,0,2,0,0,4,RUB
