nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-06-02,57,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-06-02,1013,83,9,283500,8,252000,0,0,8,11,100,32,RUB
256598609,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-06-02,699,56,0,0,0,0,0,0,8,0,0,28,RUB
270764754,2026-06-02,153,7,0,0,0,0,0,0,5,0,0,3,RUB
284082008,2026-06-02,63,2,1,48900,1,48900,0,0,3,50,100,0,RUB
293965031,2026-06-02,10,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-06-02,42,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-06-02,7,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,1,RUB
473709751,2026-06-02,5,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-06-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-06-02,290,15,0,0,0,0,0,0,5,0,0,4,RUB
523358338,2026-06-02,174,7,0,0,0,0,0,0,4,0,0,5,RUB
523358339,2026-06-02,344,12,0,0,0,0,0,0,3,0,0,8,RUB
539825994,2026-06-02,923,81,4,170000,4,170000,0,0,9,5,100,19,RUB
539825996,2026-06-02,61,1,0,0,0,0,0,0,2,0,0,0,RUB
539838210,2026-06-02,37,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-06-02,13,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-06-02,36,2,0,0,0,0,0,0,6,0,0,0,RUB
566954273,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-06-02,713,93,16,207856,13,168883,0,0,13,17,100,20,RUB
807108695,2026-06-02,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-06-02,297,10,1,31501,1,31501,0,0,3,10,100,3,RUB
846223764,2026-06-02,119,10,2,19168,2,19168,0,0,8,20,100,5,RUB
846223785,2026-06-02,564,54,3,37131,2,24754,0,0,10,6,100,15,RUB
846223804,2026-06-02,167,4,2,33668,0,0,0,0,2,50,0,0,RUB
859094794,2026-06-02,141,3,0,0,0,0,0,0,2,0,0,1,RUB
859100406,2026-06-02,918,122,7,240100,6,205800,0,0,13,6,100,29,RUB
859105127,2026-06-02,96,14,1,32501,1,32501,0,0,15,7,100,2,RUB
859126078,2026-06-02,268,14,1,74001,1,74001,0,0,5,7,100,2,RUB
876408553,2026-06-02,90,7,1,34501,0,0,0,0,8,14,0,2,RUB
879041649,2026-06-02,498,49,0,0,0,0,0,0,10,0,0,9,RUB
879041650,2026-06-02,505,29,2,74000,1,37000,0,0,6,7,100,14,RUB
969101147,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969113476,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-06-02,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320631,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-06-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-06-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
